"","detected_language","forwarded_from","insect","ulez","climate_lockdown","fifteen_minutes","name","platform_id","category","platform","url","screenname","country","influencer","public","chat","notes","source","id1","raw_channel_info_id","channel","platform_id2","scraper","platform3","transformer","screenname4","name5","description","description_url","description_location","followers","following","verified","date_created","date_archived","date_transformed"
"17","de",493,NA,NA,114,NA,"True Bavaria",1303683270,"explicit_qanon","Telegram","https://t.me/s/Qbavaria","Qbavaria","[u'DE']","","true","false","","researcher",59397,59402,493,1303683270,"TelegramTelethonScraper 0.0.3","Telegram","TelegramTelethonTransformer 0.0.3","Qbavaria","True Bavaria","Herzlich willkommen,

hier gibts alle paar Tage eine Zusammenfassung der Ereignisse. Der Kanal ist absichtlich übersichtlich & knapp gehalten. 

Auf einen guten Austausch!

BQ

Liebe & Respekt & Vertrauen 💚

t.me/globalawakeningart

t.me/Qbavaria/132",NA,NA,16178,-1,"false","07/08/20 13:19","27/07/22 01:32","27/07/22 02:15"
"18","de",496,11,4,NA,NA,"we are the News",1426441567,"explicit_qanon","Telegram","https://t.me/s/QWWG1WGA16PLUS1","QWWG1WGA16PLUS1","[u'DE']","","true","false","","researcher",316240,316291,496,1426441567,"TelegramTelethonScraper 0.0.4","Telegram","TelegramTelethonTransformer 0.0.3","QWWG1WGA16PLUS1","1️⃣7️⃣ we are the News 💥","Gegründet 15.08.2020🦅🔥
Green Point Marker. 05.03.2021🦅🔥
Info-Kanal zur Verbreitung globaler News.
Alles zur aktuellen Lage. Geschichtliche Aufarbeitung, sowie Offenlegung weltlicher Machtstrukturen. Disskussionsgruppe @QandMore17 #WWG1WGA",NA,NA,42487,-1,"false","15/08/20 19:51","27/01/23 21:29","28/01/23 08:00"
"19","de",497,NA,NA,1,NA,"Das Große Erwachen 2020 - Kanal !!!",1448534967,"explicit_qanon","Telegram","https://t.me/s/DasGrosseErwachen2020","DasGrosseErwachen2020","[u'DE']","Heiko","true","false","Channel was renamed","researcher",211144,211204,497,1448534967,"TelegramTelethonScraper 0.0.4","Telegram","TelegramTelethonTransformer 0.0.3","DasGrosseErwachen2020","Das Große Erwachen 2020","Hier findet ihr Beiträge zum aktuellen Weltgeschehen 👈

P.s

Das ist der Original Kanal 👈",NA,NA,26392,-1,"false","07/05/20 18:50","18/11/22 21:21","19/11/22 08:00"
"20","de",501,NA,1,NA,NA,"QAnon Channel HH",1354152080,"explicit_qanon","Telegram","https://t.me/s/QanencannelHH","QanencannelHH","[u'DE']","","true","false","","researcher",137003,137008,501,1354152080,"TelegramTelethonScraper 0.0.4","Telegram","TelegramTelethonTransformer 0.0.3","QanencannelHH","Q Channel Anon HH😎👽🤖🧠","Ich schaue, auf das was auf der Welt los ist!
Und Informiere euch über die Neuesten Geschehnisse!!! Lang lebe der König Donald J Trump",NA,NA,951,-1,"false","27/10/20 16:55","08/10/22 21:29","09/10/22 08:00"
"21","de",514,4,NA,2,4,"[ConspiracyNewsroom]",1473506806,"explicit_qanon","Telegram","https://t.me/s/CNconspiracynewsroom","CNconspiracynewsroom","[u'DE']","CNconspiracynewsroom","true","false","The channels in this network refer to the same Q chat which is linked to in the Channel bio. I do not know whether they belong together.","researcher",396215,396255,514,1473506806,"TelegramTelethonScraper 0.0.4","Telegram","TelegramTelethonTransformer 0.0.4","CNconspiracynewsroom","[ℂ𝕠𝕟𝕤𝕡𝕚𝕣𝕒𝕔𝕪𝕟𝕖𝕨𝕤𝕣𝕠𝕠𝕞]","@CN_Kontakt_Bot 💌

https://t.me/+ekvFBSqiZL5hODUy 💬

Hier findest du aktuelle Nachrichten, 
Betrachtungsweisen, welche wir Alle ganz sicher auch mal in Frage stellen müssen! Was jeweils dahinter stecken kann, finden wir gemeinsam raus!!!💪

WWG1WGA",NA,NA,21839,-1,"false","08/02/21 15:09","06/06/23 21:25","07/06/23 08:01"
"22","de",516,2,NA,NA,NA,"Anons17 @anons17",1341687817,"explicit_qanon","Telegram","https://t.me/s/Anons17","Anons17","[u'DE']","CNconspiracynewsroom","true","false","The channels in this network refer to the same Q chat which is linked to in the Channel bio. I do not know whether they belong together.","researcher",284061,284121,516,1341687817,"TelegramTelethonScraper 0.0.4","Telegram","TelegramTelethonTransformer 0.0.3","Anons17","Anons17 🇩🇪BREAKING NEWS 🇺🇸","Wwg1wga

BREAKING NEWS ÜBER 

Q und Politik 🇩🇪🇺🇲🌍

Englisch /German Mix

Chat @stormriderq👈",NA,NA,14759,-1,"false","01/11/20 12:44","27/12/22 21:29","28/12/22 08:00"
"23","de",519,NA,2,NA,NA,"BÜRGERINFORMATIVE - News",1340348395,"qanon_content","Telegram","https://t.me/s/buergerinformative","buergerinformative","[u'DE']","Buergerinformative","true","false","#radio","researcher",34444,41266,519,1340348395,"TelegramTelethonScraper 0.0.3","Telegram","TelegramTelethonTransformer 0.0.2","buergerinformative","❌BÜRGERINFORMATIVE - News","📌 #News über #Politik #Wirtschaft #Gesundheit #NWO #GlobalPolitik #5G #AxelBurkart #Spiritualität und mehr...
🎙Euer Radio: #OKiTALK
 🖍Systemkritik: @RubikonNews @AntiSpiegel 
😳PODCAST-Kanal
t.me/b_info_audio
🖍 Seid dabei im Chat:
t.me/buergerinfochat",NA,NA,12511,-1,"false","16/01/19 01:57","14/06/22 01:33","14/06/22 02:15"
"24","de",523,3,NA,NA,NA,"QAnon Patriot (official)",1754427141,"explicit_qanon","Telegram","https://t.me/s/QAnonPatriot17","QAnonPatriot17","[u'DE']","","true","false","","researcher",84565,84570,523,1754427141,"TelegramTelethonScraper 0.0.4","Telegram","TelegramTelethonTransformer 0.0.3","QAnonPatriot17","QAnon Patriot17 (official)️","Exklusiv ""QAnonPatriot"" Posts

Ich möchte euch allen meine Interpretationen verschiedener Schlagzeilen näher bringen. Vertraut auf den Plan. Q und Trump sind dem Deep State immer 17 Schritte voraus 🐸",NA,NA,10561,-1,"false","17/10/21 08:09","04/09/22 21:09","08/09/22 08:00"
"25","de",524,2,1,NA,NA,"Folge dem Plan",1386976384,"explicit_qanon","Telegram","https://t.me/s/Folgedemplan","Folgedemplan","[u'DE']","Folge dem Plan","true","false","","researcher",358494,358534,524,1386976384,"TelegramTelethonScraper 0.0.4","Telegram","TelegramTelethonTransformer 0.0.4","Folgedemplan","Folge dem Plan","Q Neuigkeiten zum täglichen Geschehen

Meine Kanäle 😉
@TESLAFREIEENERGIE

@ufosalienstechnologienchat

https://twitter.com/folgedemplan?t=gQGpuCTYic69oMaV2pm0sQ&s=09

https://www.tiktok.com/@fdplanalexander?_t=8bdLfoD7E73&_r=

https://p.farm/s/lMvP_tiIsg",NA,NA,17626,-1,"false","01/04/20 07:34","24/05/23 21:24","31/05/23 08:03"
"26","de",547,5,1,NA,NA,"Q7 4 YOU",1408678981,"explicit_qanon","Telegram","https://t.me/s/Q74You","Q74You","[u'DE']","Miriam Roth","true","false","seems to be into #Gesara, in Telegram bio: DE09 5001 0517 5430 2745 97
","researcher",280255,280315,547,1408678981,"TelegramTelethonScraper 0.0.4","Telegram","TelegramTelethonTransformer 0.0.3","Q74You","Q7 4 YOU","Corona ist ein Intelligenz Test

Der Q-Plan next Level 😉",NA,NA,133287,-1,"false","11/12/20 09:04","24/12/22 21:29","25/12/22 08:00"
"27","de",549,2,NA,4,NA,"Q-Faktor Germany Die Echtzeitanalyse",1288383043,"explicit_qanon","Telegram","https://t.me/s/Q_Faktor_Germany","Q_Faktor_Germany","[u'DE']","","true","false","Interprets Qdrops, does not seem to be active any morw","researcher",261219,261279,549,1288383043,"TelegramTelethonScraper 0.0.4","Telegram","TelegramTelethonTransformer 0.0.3","Q_Faktor_Germany","Q-Faktor Germany News - Die Echtzeit Analyse - Das Original","Herzlich willkommen auf Q-Faktor Germany. Hier findet ihr alle von mir zusammen getragenen Realtime-Infos zu Q und zum derzeitigen Geschehen. 
Kontakt: t.me/MarQusAnon",NA,NA,22104,-1,"false","24/02/20 12:31","14/12/22 21:29","15/12/22 08:00"
"28","de",553,NA,NA,121,NA,"Der 17. Stammtisch Kanal",1405570029,"explicit_qanon","Telegram","https://t.me/s/der17stammtisch","der17stammtisch","[u'DE']","","true","false","provides a bank account: Heike Immel, IBAN: BE44 9672 0428 9945, BIC: TRWIBEB1XXX 🇧🇪","researcher",49924,49929,553,1405570029,"TelegramTelethonScraper 0.0.3","Telegram","TelegramTelethonTransformer 0.0.3","der17stammtisch","DER 17. STAMMTISCH KANAL 💛💥","YOU'RE NOT ALONE 💛💥🫂
WWG1WGA 💛
Von 23⁰⁰ bis 09⁰⁰ Uhr ist die 
Kommentarfunktion offline!",NA,NA,46934,-1,"false","22/08/20 12:08","11/07/22 01:32","11/07/22 02:15"
"29","de",555,7,NA,15,1,"Bleib stark",1279348750,"conspiracy","Telegram","https://t.me/s/bleibtstark","bleibtstark","[u'DE']","","true","false","It shares more anti-vax content recently but has a history of sharing also QAnon posts","researcher",232620,232680,555,1279348750,"TelegramTelethonScraper 0.0.4","Telegram","TelegramTelethonTransformer 0.0.3","bleibtstark","Bleib Stark 🤜🤛","Zusammen🤝
Gemeinsam🤝 
Stark bleiben💪... 
Der Kanal mit❤️ 

@Bleibtstark",NA,NA,39714,-1,"false","10/07/20 08:22","29/11/22 21:29","30/11/22 08:00"
"30","de",556,1,NA,2,NA,"The Great Awakening is here",1359533715,"explicit_qanon","Telegram","https://t.me/s/AwakeningHere","AwakeningHere","[u'DE']","The Great Awakening is here","true","false","","researcher",175337,175342,556,1359533715,"TelegramTelethonScraper 0.0.4","Telegram","TelegramTelethonTransformer 0.0.3","AwakeningHere","🌎The Great Awakening is here🌎","Aktivieren wir in uns die Liebe und legen die Rüstung Gottes an um Mutig, Angstlos und erhobenen Hauptes durch den Sturm zu gehen. Wir gehen nicht durch irgendeinen Sturm, wir gehen durch den ""Sturm Gottes""",NA,NA,44666,-1,"false","06/11/20 23:33","28/10/22 22:24","29/10/22 08:00"
"31","de",563,44,23,49,3,"Dietrich, Dirk",1385901941,"explicit_qanon","Telegram","https://t.me/s/DDDDoffiziell","DDDDoffiziell","[u'DE']","Qlobal-Change","true","false","says in his bio that he does the X22 translations for Qlobal Change, that's why I added him to the Qlobal-Change network, adds bank details: X22 Report Übersetzung - Kontakt: @DD_Kontaktbot - Für Spenden: Dirk Dietrich, BIC: TRWIBEB1XXX, IBAN: BE50967269054118, KoNr: 2690541 Adresse: 1050 Brussels, Belgium, Verwendungszweck: Spende oder Geschenk","researcher",198285,198345,563,1385901941,"TelegramTelethonScraper 0.0.4","Telegram","TelegramTelethonTransformer 0.0.3","DDDDoffiziell","Dirk Dietrich","X22 Report Übersetzung - Kontakt: @DD_Kontaktbot - Für Spenden: Dirk Dietrich, BIC: TRWIBEB1XXX, IBAN: BE50967269054118, KoNr: 2690541 Adresse: 1050 Brussels, Belgium, Verwendungszweck: Spende oder Geschenk",NA,NA,34995,-1,"false","15/10/20 19:06","11/11/22 22:48","12/11/22 08:00"
"32","de",566,NA,6,NA,NA,"Q-Anons News Sandy Steen",1344898361,"explicit_qanon","Telegram","https://t.me/s/sandy_steen","sandy_steen","[u'DE']","","true","false","","researcher",17412,21465,566,1344898361,"TelegramTelethonScraper 0.0.2","Telegram","TelegramTelethonTransformer 0.0.2","sandy_steen","Q-Anons News 🛡️ Sandy Steen","WWG1WGA",NA,NA,6291,-1,"false","05/06/20 07:25","20/05/22 01:38","08/06/22 08:14"
"33","de",617,1,NA,NA,NA,"Q_WIKI_Götterwissen",1122802664,"qanon_content","Telegram","https://t.me/Q_WIKI_Goetterwissen","Q_WIKI_Goetterwissen","[u'DE']","","true","false","","researcher",6068,7482,617,1122802664,"TelegramTelethonScraper 0.0.2","Telegram","TelegramTelethonTransformer 0.0.2","Q_WIKI_Goetterwissen","Q_WIKI_Götterwissen 💎♥️🍀","Fundstücke aus dem Q_Kingdom zum tieferen Verstehen - Wikipedia für angehende Götter

#Mensch_und_Gott #Religion #Krankheit_Alter_Tod #Innere_Erde #Bewusstsein #Great_Awakening #Kosmos",NA,NA,1156,-1,"false","05/02/21 16:10","26/04/22 01:41","08/06/22 08:14"
"34","de",619,3,NA,NA,1,"The Q-Kingdom Family",1197404983,"explicit_qanon","Telegram","https://t.me/Q_Kingdom","Q_Kingdom","[u'DE']","","true","false","English and German","researcher",154316,154321,619,1197404983,"TelegramTelethonScraper 0.0.4","Telegram","TelegramTelethonTransformer 0.0.3","Q_Kingdom","Q-Kingdom Family ❤️💎👑","Q and the Queen!
Gods of God in God!

The Kingdom of God 04.07.2022!

God sent us! We are the Plan! 
The Great Awakening Underdogs!

#AngelOFLaw #TheGalacticCouncil #2Q2Q

Email: QKingdomChannel@gmail.com",NA,NA,6303,-1,"false","29/08/19 21:44","17/10/22 21:43","18/10/22 08:00"
"35","de",627,25,1,1,1,"17News17",1166564094,"explicit_qanon","Telegram","https://t.me/s/news1717","News1717","[u'DE']","","true","false","","researcher",148566,148571,627,1166564094,"TelegramTelethonScraper 0.0.4","Telegram","TelegramTelethonTransformer 0.0.3","News1717","🦁 17News17 🦁™️ LQVE❤️‍🔥","#StopptGewalt
Hallo ihr Lieben👋 Dieser Kanal dient ausschließlich Für Analysen, 
Zusammenführungen und Netzfunde.
Wir navigieren euch durch das netz Unterhaltung und viel Spaß ->Licht und Liebe ist das Ziel ✨ #Trumpsupport #Frieden",NA,NA,6647,-1,"false","17/12/20 11:13","14/10/22 21:34","15/10/22 08:00"
"36","de",707,NA,NA,5,NA,"",1377779278,"","Telegram","https://t.me/naomiseibt","naomiseibt","","","true","false","","researcher",334647,334698,707,1377779278,"TelegramTelethonScraper 0.0.4","Telegram","TelegramTelethonTransformer 0.0.3","naomiseibt","Naomi Seibt","https://naomiseibt.com",NA,NA,29176,-1,"false","14/07/19 12:09","25/02/23 21:21","26/02/23 08:00"
"37","de",708,7,10,NA,1,"Nesara-Gesara",1302058605,"explicit_qanon","Telegram","https://t.me/s/NESARA_GESARA/","NESARA_GESARA","[u'DE']","Dirk Schäfer","true","false","#Gesara","researcher",373006,366924,708,1302058605,"TelegramTelethonScraper 0.0.4","Telegram","TelegramTelethonTransformer 0.0.4","NESARA_GESARA","NESARA-GESARA","Mein Shop: prohominibus.de -  Dirk Schäfer, German Q Follower and General Flynns Digital Soldier - GESARA/NESARA und deren Bedeutung
Vk: vk.com/club167908293
Adrenochrome: t.me/WTF1_3
News: t.me/prohominibus
Chlordioxid: https://t.me/+gWugauXt_cUxMjgy",NA,NA,14125,-1,"false","20/11/20 14:24","27/05/23 21:23","01/06/23 08:02"
"38","de",713,NA,2,NA,NA,"",1118270626,"far_right","Telegram","https://t.me/s/martinsellnerIB","martinsellnerIB","","","true","false","","researcher",407395,407431,713,1118270626,"TelegramTelethonScraper 0.0.4","Telegram","TelegramTelethonTransformer 0.0.4","martinsellnerIB","🔵 Martin Sellner [TELEGRAMELITE]","✉️ Mein Rundbrief: https://martin-sellner.at/rundbrief/
✅ Unterstützen: http://martin-sellner.at/unterstuetzen-2/",NA,NA,56875,-1,"false","02/07/17 12:03","10/06/23 21:17","11/06/23 08:01"
"39","de",754,21,NA,2,NA,"Immer Frei",1308327796,"qanon_content","Telegram","https://t.me/s/marioamenti","marioamenti","[u'DE']","Mario Amenti","true","false","","researcher",55345,55350,754,1308327796,"TelegramTelethonScraper 0.0.3","Telegram","TelegramTelethonTransformer 0.0.3","marioamenti","Immer Frei","Der Kanal, der weltliches und spirituelles vereint. Es gibt keine Trennung.                                                  Freiheit, Freude, Erwachen                                                         www.awakening-code.com",NA,NA,28537,-1,"false","28/04/20 15:04","21/07/22 01:37","21/07/22 02:15"
"40","de",757,NA,3,NA,NA,"Informationskanal für die Neue Zeit",1347724292,"qanon_content","Telegram","https://t.me/infoNeueZeit/","infoNeueZeit","[u'DE']","","true","false","","researcher",157733,157738,757,1347724292,"TelegramTelethonScraper 0.0.4","Telegram","TelegramTelethonTransformer 0.0.3","infoNeueZeit","Informationskanal für die Neue Zeit","Der Inhaber dieses Kanals stellt den Kanal zur Wahrheitsfindung und das Wachsen in die neue Zeit, die Zeit in der die Würde des Menschen, seine Souveränität und Selbstbestimmung nach den Gesetzen der Schöpfung unantastbar sind !",NA,NA,10442,-1,"false","07/01/21 20:02","19/10/22 22:00","20/10/22 08:00"
"41","de",758,1,NA,1,1,"KateBonoAwake",1203648452,"explicit_qanon","Telegram","https://t.me/KateBono","KateBono","[u'DE']","Kate Bono","true","false","","researcher",303118,303169,758,1203648452,"TelegramTelethonScraper 0.0.4","Telegram","TelegramTelethonTransformer 0.0.3","KateBono","KateBonoAwake","Stuff for waking up",NA,NA,7624,-1,"false","16/05/20 21:34","14/01/23 21:00","19/01/23 15:22"
