"","term1","term2","cooc","fifteen_minutes","climate_lockdown","ulez","insect"
"80","gut","Appetit",18,NA,NA,NA,18
"81","groß","Kinderapotheke",18,NA,NA,NA,18
"82","italienisch","Küche",18,NA,NA,NA,18
"83","erst","Schritt",17,8,1,5,4
"84","öffentlich","Gesundheit",17,4,6,2,6
"85","gut","Nachricht",17,3,1,4,9
"86","klar","Art",17,NA,NA,NA,17
"87","europäisch","Ernährung",17,NA,NA,NA,17
"88","digital","Gefängnis",16,2,NA,1,13
"89","Million","Mensch",16,2,1,3,11
"90","ganz","Stadt",16,10,2,6,NA
"91","tierisch","Produkt",16,NA,1,NA,15
"92","ander","Insekt",16,NA,NA,NA,16
"93","essbar","Insekt",16,NA,NA,NA,16
"94","gelb","Mehlwurm",16,NA,NA,NA,16
"95","weit","spannend",15,6,NA,NA,10
"96","unser","Leben",15,1,1,2,12
"97","groß","Gefahr",15,2,13,1,NA
"98","öffentlich","Leben",15,NA,12,1,2
"99","rot","Karmin",15,NA,NA,NA,15
"100","ᴀɴᴏɴ","ᴋʀɪꜱᴛɪᴀɴ",14,2,NA,2,10
"101","spirituell","Sicht",14,1,NA,NA,13
"102","intelligent","Kamera",14,13,4,1,NA
"103","eigentlich","Horror",14,NA,14,NA,NA
"104","Hausstaubmilben","allergisch",14,NA,NA,NA,14
"105","ungefüllt","Erzeugnis",14,NA,NA,NA,14
"106","frei","Natur",14,NA,NA,NA,14
"107","persönlich","Freiheit",13,1,11,NA,1
"108","globalistisch","Elite",13,8,1,NA,4
"109","digital","Tyrannei",13,9,13,NA,NA
"110","🕊w","ar",13,5,NA,4,4
"111","ar","peac",13,5,NA,4,4
"112","elektronisch","Tor",13,11,6,NA,NA
"113","neu","Normalität",13,1,5,2,5
"114","schrecklich","heiß",13,NA,13,NA,NA
"115","gut","Staat",13,NA,13,NA,NA
"116","drastisch","Folge",13,NA,7,NA,6
"117","ander","Teil",13,NA,NA,11,2
"118","falsch","Gott",13,NA,NA,NA,13
"119","gut","Morgen",12,1,3,1,7
"120","digital","Ausweise",12,7,NA,NA,5
"121","britisch","Regierung",12,2,2,NA,8
"122","digital","Impfpaß",12,2,9,1,1
"123","digital","Überwachung",12,3,2,9,NA
"124","global","Elite",12,2,3,3,6
"125","digital","Gulag",12,11,4,11,NA
"126","wichtig","Straße",12,11,5,NA,NA
"127","industriell","Revolution",12,1,NA,11,NA
"128","mehr","kostenfrei",12,2,3,3,4
"129","westlich","Welt",12,10,1,NA,2
"130","wirtschaftlich","Folge",12,NA,1,11,NA
"131","epidemisch","Lage",12,NA,12,NA,NA
"132","drastisch","Einschränkung",12,NA,12,NA,NA
"133","Klima","verhältnismäßig",12,NA,12,NA,NA
"134","chinesisch","Vorbild",12,NA,1,11,NA
"135","intelligent","Wachstum",12,NA,NA,12,NA
"136","Gesundheit","Heilung",12,NA,NA,8,4
"137","nah","Woche",12,NA,NA,4,8
"138","verarbeiten","Kartoffelerzeugnisse",12,NA,NA,NA,12
"139","menschlich","Fleisch",12,NA,NA,NA,12
"140","neu","Zukunftsdystopie",11,11,NA,1,NA
"141","ganz","Sendung",11,1,5,6,NA
"142","➡️","www.kulturstudio.tv",11,2,2,3,5
"143","erst","Stadt",11,6,2,6,NA
"144","➡️","immer",11,3,2,NA,6
"145","immer","informieren",11,3,2,NA,6
"146","ander","Land",11,1,NA,2,9
"147","menschengemacht","Klimawandel",11,1,6,1,3
"148","weltweit","Unsinn",11,2,NA,NA,9
"149","landwirtschaftlich","Betrieb",11,8,1,NA,2
"150","vergangen","Jahr",11,NA,4,3,4
"151","global","Ebene",11,NA,1,9,1
"152","gravierend","Freiheitseinbuße",11,NA,11,NA,NA
"153","satanisch","reichst",11,NA,NA,11,NA
"154","digital","Technologie",11,NA,NA,11,NA
"155","euer","falsch",11,NA,NA,NA,11
"156","euer","sexuell",11,NA,NA,NA,11
"157","gezüchtet","Fleisch",11,NA,NA,NA,11
"158","unser","Ernährung",11,NA,NA,NA,11
"159","vegetarisch","Fleischalternative",11,NA,NA,NA,11
"160","ander","Tier",11,NA,NA,NA,11
"161","EU-weites","Verbot",11,NA,NA,NA,11
"162","Gramm","Fleisch",10,2,NA,NA,10
"163","niederländisch","Regierung",10,5,2,2,2
"164","letzt","Woche",10,3,3,1,4
"165","digital","Identität",10,3,3,3,1
"166","autoritäre","Kontrolle",10,7,3,NA,NA
"167","lang","Zeit",10,2,4,NA,6
"168","Jahr","lang",10,3,1,1,6
"169","massiv","Einschränkung",10,9,1,NA,NA
"170","nah","Jahr",10,2,1,2,7
"171","global","denken",10,2,NA,NA,8
"172","Unseresgleichen","konzentri",10,2,NA,NA,8
"173","ganz","Land",10,NA,1,3,6
"174","erst","Mal",10,NA,4,4,2
"175","kommend","Jahr",10,NA,3,2,5
"176","deutsch","Regierung",10,NA,3,5,2
"177","verfassungsrechtlich","rechtfertigen",10,NA,10,NA,NA
"178","chemisch","Kampf",10,NA,NA,10,NA
"179","synthetisch","Fleisch",10,NA,NA,4,6
"180","neu","Technologie",10,NA,NA,7,3
"181","neu","Verordnung",10,NA,NA,1,9
"182","Ressource","kontrollieren",10,NA,NA,10,NA
"183","groß","Spaltung",10,NA,NA,10,NA
"184","groß","Tech",10,NA,NA,10,NA
"185","Insekt","schmackhaft",10,NA,NA,NA,10
"186","jung","Zulassung",10,NA,NA,NA,10
"187","gesundheitlich","Risiko",10,NA,NA,NA,10
"188","wissenschaftlich","Gutachten",10,NA,NA,NA,10
"189","ander","Lebensmittel",10,NA,NA,NA,10
"190","vegan","Ernährung",10,NA,NA,NA,10
"191","künftig","Insekt",10,NA,NA,NA,10
"192","ander","gut",10,NA,NA,NA,10
"193","gut","Ding",10,NA,NA,NA,10
"194","anhaltend","Symphonie",10,NA,NA,NA,10
"195","langsam","Feuer",10,NA,NA,NA,10
"196","ganz","Menschheit",10,NA,NA,NA,10
"197","gelb","Mehlwürmer",10,NA,NA,NA,10
"198","deutsch","Bundesministerin",10,NA,NA,NA,10
"199","umstritten","insektenvernichtend",10,NA,NA,NA,10
"200","insektenvernichtend","Chemikalie",10,NA,NA,NA,10
"201","Neonicotinoide","bekennen",10,NA,NA,NA,10
"202","begrenzt","Notfallausnahme",10,NA,NA,NA,10
"203","aktuell","EU-weites",10,NA,NA,NA,10
"204","argumenti","Umweltorganisation",10,NA,NA,NA,10
"205","heimlich","Wiederzulassung",10,NA,NA,NA,10
"206","weit","Versuch",10,NA,NA,NA,10
"207","digital","Zentralbankwährung",9,9,NA,NA,NA
"208","neu","Trend",9,1,NA,NA,8
"209","dystopisch","Realität",9,9,NA,NA,NA
"210","digital","Überwachungsgefängnis",9,9,NA,NA,NA
"211","kurz","Weg",9,2,4,3,NA
"212","Zone","maximal",9,9,4,NA,NA
"213","genau","Gegenteil",9,8,1,NA,NA
"214","ander","Wort",9,2,3,4,2
"215","gänzlich","unberührt",9,9,NA,NA,NA
"216","deutsch","Grüne",9,9,NA,NA,NA
"217","eigen","Zone",9,9,6,NA,NA
"218","letzt","Jahrzehnt",9,2,2,1,6
"219","eigen","Auto",9,1,1,5,2
"220","Freiheit","würdig",9,8,5,NA,NA
"221","neu","Plan",9,5,1,NA,4
"222","weltberühmt","Universitätsstadt",9,9,9,NA,NA
"223","vergangen","Woche",9,7,9,NA,NA
"224","Hintergrund","kostenlos",9,NA,8,1,NA
"225","erst","Blick",9,NA,2,1,6
"226","sozial","Netzwerk",9,NA,5,1,3
"227","erst","Klimalockdowns",9,NA,9,NA,NA
"228","globalistisch","Agenda",9,NA,5,2,2
"229","abonni","➡️",9,NA,2,3,4
"230","total","Überwachung",9,NA,2,7,NA
"231","beschlossen","Sache",9,NA,8,NA,1
"232","frei","Wille",9,NA,2,7,NA
"233","dunkel","Seite",9,NA,8,NA,1
"234","groß","Reset",9,NA,4,NA,5
"235","menschlich","Körper",9,NA,NA,4,5
"236","brillant","Marketingstrategie",9,NA,NA,9,NA
"237","früh","1990er",9,NA,NA,9,NA
"238","russisch","Energiesektor",9,NA,NA,9,NA
"239","synthetisch","Biologie",9,NA,NA,9,NA
"240","wichtig","Wendepunkt",9,NA,NA,9,NA
"241","langfristig","Auswirkunge",9,NA,NA,9,NA
"242","bilateral","Handelsströme",9,NA,NA,9,NA
"243","führend","Befürworter",9,NA,NA,9,NA
"244","öffentlich","Sektor",9,NA,NA,9,NA
"245","groß","Stil",9,NA,NA,1,8
"246","böse","Plan",9,NA,NA,NA,9
"247","gemahlen","Insekt",9,NA,NA,NA,9
"248","gentechnisch","verändert",9,NA,NA,NA,9
"249","heimisch","Grille",9,NA,NA,NA,9
"250","weit","Insekt",9,NA,NA,NA,9
"251","lebend","Insekt",9,NA,NA,NA,9
"252","halal","anzusehend",9,NA,NA,NA,9
"253","anzusehend","Essen",9,NA,NA,NA,9
"254","katarisch","Gesundheitsministerium",9,NA,NA,NA,9
"255","groß","Menge",9,NA,NA,NA,9
"256","harzartig","Ausscheidung",9,NA,NA,NA,9
"257","gemahlen","Grille",9,NA,NA,NA,9
"258","richtig","Equipment",9,NA,NA,NA,9
"259","getrocknet","gelb",9,NA,NA,NA,9
"260","wissenschaftlich","Bewertung",9,NA,NA,NA,9
"261","verboten","Pestizids",9,NA,NA,NA,9
"262","ganz","Nahrungskette",9,NA,NA,NA,9
"263","offen","Grenze",8,2,NA,1,5
"264","totalitäre","Regierung",8,7,NA,1,NA
"265","offiziell","Papier",8,2,NA,6,NA
"266","unmittelbar","Nähe",8,6,2,NA,2
"267","Minute","Cities",8,8,2,6,NA
"268","verschieden","Art",8,1,NA,3,4
"269","nah","Lockdown",8,1,6,1,NA
"270","schön","neu",8,2,1,6,1
"271","neu","Welt",8,2,1,5,2
"272","jung","Stufe",8,8,1,NA,NA
"273","nah","Stufe",8,1,5,3,NA
"274","neu","Hatay",8,8,NA,NA,NA
"275","️‼","️",8,2,3,2,1
"276","replacement","migration",8,1,NA,7,NA
"277","weit","Einschränkung",8,1,7,NA,NA
"278","umstritten","Plan",8,8,1,NA,NA
"279","fossil","Brennstoff",8,NA,5,1,2
"280","https://gettr.com/user/antiilluminat","Kommentar",8,NA,4,2,2
"281","nah","Phase",8,NA,4,4,NA
"282","jung","Entwicklung",8,NA,8,NA,NA
"283","weiter","erzwungen",8,NA,8,NA,NA
"284","erzwungen","Pharma",8,NA,8,NA,NA
"285","enden","wollend",8,NA,7,NA,1
"286","globalistisch","Trauerspiel",8,NA,8,NA,NA
"287","mündig","Bürger",8,NA,8,NA,NA
"288","erzeug","absichtlich",8,NA,8,NA,NA
"289","Intensivstation","seltsam",8,NA,8,NA,NA
"290","falsch","Zahl",8,NA,8,NA,NA
"291","dagewesen","Ausmaß",8,NA,8,NA,NA
"292","international","Wissenschaftler",8,NA,8,NA,NA
"293","öffentlich","rechtlich",8,NA,8,NA,NA
"294","rechtlich","Medium",8,NA,8,NA,NA
"295","bitter","Wahrheiten",8,NA,8,NA,NA
"296","weit","zivil",8,NA,8,NA,NA
"297","zivil","Opfer",8,NA,8,NA,NA
"298","versehentlich","vergessen",8,NA,8,NA,NA
"299","einflussreich","Youtuberinnen",8,NA,8,NA,NA
"300","global","militärisch",8,NA,8,NA,NA
"301","militärisch","Bewegung",8,NA,8,NA,NA
"302","chinesisch","Notenbank",8,NA,8,NA,NA
"303","erheblich","Freiheitseinbuße",8,NA,8,NA,NA
"304","Wahl","überflüssig",8,NA,NA,8,NA
"305","ökologisch","Fußabdruck",8,NA,NA,2,6
"306","schnell","Weg",8,NA,NA,7,1
"307","sogenannt","Impfung",8,NA,NA,1,7
"308","zentral","Rolle",8,NA,NA,5,3
"309","sozial","Medium",8,NA,NA,3,5
"310","global","Versorgungskette",8,NA,NA,8,NA
"311","chronisch","Inflation",8,NA,NA,8,NA
"312","wirtschaftlich","Reset",8,NA,NA,8,NA
"313","international","Ordnung",8,NA,NA,8,NA
"314","integrieren","Dienstleistung",8,NA,NA,8,NA
"315","Monat","spät",8,NA,NA,8,NA
"316","vereinigt","Staat",8,NA,NA,8,NA
"317","supranational","Weltregierung",8,NA,NA,8,NA
"318","industriell","Komplex",8,NA,NA,7,1
"319","groß","Krise",8,NA,NA,8,NA
"320","Holistisch","Gesundheit",8,NA,NA,5,3
"321","ganz","Herz",8,NA,NA,1,7
"322","geistig","Gesundheit",8,NA,NA,NA,8
"323","wissenschaftlich","Studie|Studium",8,NA,NA,NA,8
"324","interessant","Vortrag",8,NA,NA,NA,8
"325","vegan","Wurstersatz",8,NA,NA,NA,8
"326","wichtig","natürlich",8,NA,NA,NA,8
"327","gesichert","Version",8,NA,NA,NA,8
"328","anonym","antisemitisch",8,NA,NA,NA,8
"329","antisemitisch","Account",8,NA,NA,NA,8
"330","jüdisch","Weltordnung",8,NA,NA,NA,8
"331","Extremist","viral",8,NA,NA,NA,8
"332","dänisch","Abgeordnete",8,NA,NA,NA,8
"333","niederländisch","Provinz",8,NA,NA,NA,8
"334","Mehlwürmer","künftig",8,NA,NA,NA,8
"335","krank","System",8,NA,NA,NA,8
"336","sauber","Energie",7,2,1,6,1
"337","neu","Lebensmittel",7,3,NA,NA,5
"338","mög","totalitäre",7,7,NA,NA,NA
"339","leise","Teil",7,7,NA,NA,NA
"340","gut","Regierungsform",7,7,NA,NA,NA
"341","wichtig","Diversitätspartner",7,7,NA,NA,NA
"342","weit","Information",7,2,NA,NA,5
"343","digital","Wohnen",7,7,NA,NA,NA
"344","dystopisch","Zukunft",7,6,NA,NA,1
"345","ganz","einfach",7,3,NA,NA,4
"346","ᴛᴇɪʟᴇɴ","✌️",7,1,NA,1,5
"347","✌️","ᴛᴇɪʟᴇɴ",7,1,NA,1,5
"348","ᴛᴇɪʟᴇɴ","🤝",7,1,NA,1,5
"349","🤝","ʟᴏᴠᴇ",7,1,NA,1,5
"350","ᴘᴇᴀᴄᴇ","ᴇᴜᴇʀ",7,1,NA,1,5
"351","ᴇᴜᴇʀ","ᴀɴᴏɴ",7,1,NA,1,5
"352","ᴋʀɪꜱᴛɪᴀɴ","ᴇʜᴇᴍ",7,1,NA,1,5
"353","Qᴀɴᴏɴ","ᴀᴜꜱᴛʀɪᴀ",7,1,NA,1,5
"354","Artikel","🗞️",7,2,NA,NA,5
"355","digital","Eingangstor",7,7,NA,NA,NA
"356","viert","industriell",7,3,NA,4,NA
"357","gut","erkennbar",7,5,NA,NA,2
"358","gierig","Mensch",7,7,NA,NA,NA
"359","Leben","schön",7,6,NA,NA,1
"360","gesamt","Stadt",7,7,6,NA,NA
"361","groß","Plan",7,2,NA,5,NA
"362","Jahr","groß",7,2,NA,NA,7
"363","Stadt","neu",7,2,1,6,NA
"364","Smart","Stadt",7,5,3,7,NA
"365","urban","Mensch",7,7,7,NA,NA
"366","letzt","Generation",7,NA,3,1,3
"367","selbsternannt","Elite",7,NA,1,NA,6
"368","einschneidend","Maßnahme",7,NA,7,NA,NA
"369","demokratisch","Endzeit",7,NA,3,1,3
"370","erst","Klima",7,NA,7,NA,NA
"371","wollend","Pandemien",7,NA,7,NA,NA
"372","ganz","Artikel",7,NA,1,NA,6
"373","frei","Entscheidung",7,NA,2,5,NA
"374","de[","utsch",7,NA,5,NA,2
"375","trojanisch","Pferd",7,NA,1,6,NA
"376","digital","biometrisch",7,NA,1,6,NA
"377","neu","Studie",7,NA,2,4,1
"378","Mensch","weltweit",7,NA,NA,2,5
"379","Hektar","groß",7,NA,NA,7,NA
"380","gesamt","Dokument",7,NA,NA,7,NA
"381","bestimmt","Bus",7,NA,NA,7,NA
"382","ländlich","Gebiet",7,NA,NA,7,NA
"383","ganz","Zeit",7,NA,NA,4,3
"384","geteilt","Ware",7,NA,NA,7,NA
"385","künftig","Smart",7,NA,NA,7,NA
"386","wirtschaftlich","Auswirkunge",7,NA,NA,7,NA
"387","groß","international",7,NA,NA,6,1
"388","konkret","Zielvorgabe",7,NA,NA,7,NA
"389","Zielvorgabe","kurz",7,NA,NA,7,NA
"390","einzeln","Land",7,NA,NA,7,NA
"391","zentralistisch","Weltregierung",7,NA,NA,7,NA
"392","ländereigen","Armee",7,NA,NA,7,NA
"393","global","Militärbündnis",7,NA,NA,7,NA
"394","markant","Dezimierung",7,NA,NA,7,NA
"395","bedingt","Grundeinkommen",7,NA,NA,7,NA
"396","Zweck","unverzichtbar",7,NA,NA,7,NA
"397","Umwelt","massiv",7,NA,NA,7,NA
"398","ländlich","Umgebung",7,NA,NA,7,NA
"399","grau","Theorie",7,NA,NA,7,NA
"400","nehmend","Absichtserklärung",7,NA,NA,7,NA
"401","tiefgreifend","Umbau",7,NA,NA,7,NA
"402","tief","greifend",7,NA,NA,7,NA
"403","weltweit","Erschütterung",7,NA,NA,7,NA
"404","D","militärisch",7,NA,NA,7,NA
"405","übergeordnet","Hochfinanz",7,NA,NA,7,NA
"406","Handvoll","superreich",7,NA,NA,7,NA
"407","superreich","Technogigant",7,NA,NA,7,NA
"408","oben","Gesagte",7,NA,NA,7,NA
"409","Arbeit","soweit",7,NA,NA,7,NA
"410","richtig","groß",7,NA,NA,7,NA
"411","aktuell","Gesundheitskrise",7,NA,NA,7,NA
"412","Art","Brandbeschleuniger",7,NA,NA,7,NA
"413","künstlich","Muttermilch",7,NA,NA,1,6
"414","Gott","euer",7,NA,NA,NA,7
"415","sexuell","Pflege",7,NA,NA,NA,7
"416","Perversion","Opfer",7,NA,NA,NA,7
"417","gebührenfinanziert","Medium",7,NA,NA,NA,7
"418","verhöhnen","besorgt",7,NA,NA,NA,7
"419","besorgt","Bürge",7,NA,NA,NA,7
"420","Scheibe","Wurst",7,NA,NA,NA,7
"421","pflanzlich","Ernährung",7,NA,NA,NA,7
"422","unwissentlich","Insekt",7,NA,NA,NA,7
"423","unterschiedlich","Verarbeitungsformen",7,NA,NA,NA,7
"424","Jahr","Praxis",7,NA,NA,NA,7
"425","asiatisch","Raum",7,NA,NA,NA,7
"426","völlig","ander",7,NA,NA,NA,7
"427","ander","Bewußtsein",7,NA,NA,NA,7
"428","rituell","Gewaltanwendung",7,NA,NA,NA,7
"429","ander","Hinsicht",7,NA,NA,NA,7
"430","nieder","Verkörperung",7,NA,NA,NA,7
"431","karmisch","tief",7,NA,NA,NA,7
"432","spirituell","Entwicklung",7,NA,NA,NA,7
"433","islamisch","Vorgabe",7,NA,NA,NA,7
"434","Bierähnlich","Getränk",7,NA,NA,NA,7
"435","beliebt","Produkt",7,NA,NA,NA,7
"436","groß","Anteil",7,NA,NA,NA,7
"437","menschlich","Wesen",7,NA,NA,NA,7
"438","vegetarisch","Fleischersatz",7,NA,NA,NA,7
"439","möglich","allergisch",7,NA,NA,NA,7
"440","schweizerisch","Davos",7,NA,NA,NA,7
"441","hochwertig","Lebensmittel",7,NA,NA,NA,7
"442","neu","Essenserfahrung",7,NA,NA,NA,7
"443","bewährt","Mittel",7,NA,NA,NA,7
"444","ungehemmt","Kind",7,NA,NA,NA,7
"445","synthetisch","Lebensmittel",7,NA,NA,NA,7
"446","schwedisch","Wissenschaftler",7,NA,NA,NA,7
"447","Buch","erhalten",7,NA,NA,NA,7
"448","erhalten","Eltern",7,NA,NA,NA,7
"449","Eltern","wertvoll",7,NA,NA,NA,7
"450","wertvoll","Unterstützung",7,NA,NA,NA,7
"451","naturheilkundlich","Behandlung",7,NA,NA,NA,7
"452","einzeln","Kapitel",7,NA,NA,NA,7
"453","zahlreich","bebildern",7,NA,NA,NA,7
"454","vielseitig","Behandlungsthem",7,NA,NA,NA,7
"455","gesund","Zahn",7,NA,NA,NA,7
"456","lecker","Idee",7,NA,NA,NA,7
"457","gut","Konzentration",7,NA,NA,NA,7
"458","gesund","Essen",7,NA,NA,NA,7
"459","hungrig","Sandfliegen",7,NA,NA,NA,7
"460","Lebensmittel","erhalten",7,NA,NA,NA,7
"461","groß","Buchstabe",7,NA,NA,NA,7
"462","ganz","Menschengruppe",7,NA,NA,NA,7
"463","bewußt","Spaltung",7,NA,NA,NA,7
"464","euer","krank",7,NA,NA,NA,7
"465","System","notwendig",7,NA,NA,NA,7
"466","euer","lächerlich",7,NA,NA,NA,7
"467","lächerlich","Wahlveranstaltung",7,NA,NA,NA,7
"468","gut","Wahl",7,NA,NA,NA,7
"469","schöpferisch","Charakter",7,NA,NA,NA,7
"470","euer","Prominente",7,NA,NA,NA,7
"471","euer","Marionette",7,NA,NA,NA,7
"472","künstlich","Raster",7,NA,NA,NA,7
"473","nämlich","selbstverständlich",7,NA,NA,NA,7
"474","geisteskrank","Angebot",7,NA,NA,NA,7
"475","stimmig","Weg",7,NA,NA,NA,7
"476","manipulativ","Trennung",7,NA,NA,NA,7
"477","elektronisch","Hilfe",7,NA,NA,NA,7
"478","schwer","kontrollierbar",7,NA,NA,NA,7
"479","kontrollierbar","Aspekt",7,NA,NA,NA,7
"480","Lebensmittel","bezeichnet",7,NA,NA,NA,7
"481","bewußt","untergejubelt",7,NA,NA,NA,7
"482","untergejubelt","Gift",7,NA,NA,NA,7
"483","euer","linientreu",7,NA,NA,NA,7
"484","linientreu","schulmedizinisch",7,NA,NA,NA,7
"485","schulmedizinisch","Arzt",7,NA,NA,NA,7
"486","unser","Wertschätzung",7,NA,NA,NA,7
"487","traditionell","Rolle",7,NA,NA,NA,7
"488","gesund","Geist",7,NA,NA,NA,7
"489","Fernseher","ausgestrahlt",7,NA,NA,NA,7
"490","ausgestrahlt","Nachricht",7,NA,NA,NA,7
"491","verlogen","Gedankengänge",7,NA,NA,NA,7
"492","bewußt","geschafft",7,NA,NA,NA,7
"493","geschafft","Schreckensszenarie",7,NA,NA,NA,7
"494","göttlich","Ursprung",7,NA,NA,NA,7
"495","notwendig","Zensur",7,NA,NA,NA,7
"496","euer","unauthentisch",7,NA,NA,NA,7
"497","unauthentisch","Medium",7,NA,NA,NA,7
"498","tagtäglich","sämtlich",7,NA,NA,NA,7
"499","sämtlich","wahrhaftig",7,NA,NA,NA,7
"500","wahrhaftig","Menschenrecht",7,NA,NA,NA,7
"501","Schöpfer","unser",7,NA,NA,NA,7
"502","unser","Realität",7,NA,NA,NA,7
"503","Berechtigung","zusteht",7,NA,NA,NA,7
"504","Verlauf","unser",7,NA,NA,NA,7
"505","digital","IDs",6,1,1,6,1
"506","neu","Richtlinie",6,1,NA,NA,6
"507","rot","Fleisch",6,1,4,NA,1
"508","universell","Grundeinkommen",6,1,NA,3,3
"509","jähriges","Mädchen",6,6,NA,NA,NA
"510","schwer","Hirnschaden",6,6,NA,NA,NA
"511","Zusendung","🙏❤️",6,2,NA,NA,4
"512","normal","Bürger",6,5,1,1,NA
"513","begrenzt","Auslauf",6,6,NA,1,NA
"514","Intelligent","Stadt",6,1,NA,6,NA
"515","weit","fortschreiten",6,5,2,5,NA
"516","🟦⬛️‼","️",6,2,2,3,3
"517","eigen","Viertel",6,6,3,NA,NA
"518","ander","Stadt",6,4,1,NA,1
"519","letzt","Tag",6,1,3,1,1
"520","jährige","Mädchen",6,6,NA,NA,NA
"521","dystopisch","Konzept",6,6,NA,NA,NA
"522","breit","Öffentlichkeit",6,1,1,NA,4
"523","erst","deutsch",6,6,NA,1,NA
"524","sogenannt","Verkehrsfilter",6,6,NA,1,NA
"525","täglich","Bedarf",6,6,1,NA,NA
"526","Neuzeit","Nachricht",6,1,1,2,2
"527","gesundheitlich","Problem",6,1,NA,1,4
"528","neu","System",6,5,1,1,NA
"529","deutschsprachig","Raum",6,2,2,NA,4
"530","gut","denkend",6,1,NA,6,NA
"531","zentral","Bestandteil",6,1,NA,5,NA
"532","groß","Stadt",6,3,NA,3,1
"533","städtisch","Gebiet",6,1,NA,6,NA
"534","gestern","Plan",6,6,4,NA,NA
