"","term1","term2","cooc","fifteen_minutes","climate_lockdown","ulez","insect"
"600","côté","nord",2,2,NA,NA,NA
"601","digital","id",2,1,1,NA,NA
"602","scientifique","franco-colombien",2,2,NA,NA,NA
"603","voisinage","immédiat",2,2,NA,NA,NA
"604","tel","amélioration",2,2,NA,NA,NA
"605","autorisation","numérique",2,2,NA,NA,NA
"606","numérique","spécial",2,2,NA,NA,NA
"607","film","dystopique",2,2,NA,NA,NA
"608","trottinette","électrique",2,1,NA,1,NA
"609","année","dernier",2,1,NA,1,1
"610","groupuscule","extrémiste",2,2,NA,NA,NA
"611","honnête","citoyen",2,1,1,NA,NA
"612","conseil","municipal",2,2,NA,NA,NA
"613","décembre","dernier",2,1,1,NA,NA
"614","service","public",2,1,1,1,NA
"615","agenda","vert",2,1,NA,NA,1
"616","puissant","outil",2,1,NA,NA,1
"617","transport","public",2,1,NA,1,NA
"618","nombreux","ville",2,1,NA,1,NA
"619","effort","mondial",2,1,NA,1,NA
"620","banlieue","voisin",2,1,2,NA,NA
"621","précédent","post",2,1,1,1,NA
"622","autre","quartier",2,1,1,NA,NA
"623","crise","sanitaire",2,NA,1,1,NA
"624","autre","mesure",2,NA,1,1,NA
"625","sanitaire","contraignant",2,NA,2,NA,NA
"626","vaccination","forcé",2,NA,2,NA,NA
"627","risque","potentiel",2,NA,1,1,NA
"628","météorologique","extrême",2,NA,2,NA,NA
"629","origine","humain",2,NA,2,NA,NA
"630","opération","psychologique",2,NA,1,1,NA
"631","insecte","chimérique",2,NA,2,NA,NA
"632","manipulation","climatique",2,NA,2,NA,NA
"633","fait","réel",2,NA,2,NA,NA
"634","dictatorial","applicable",2,NA,2,NA,NA
"635","passeport","climatique",2,NA,2,NA,NA
"636","guerre","géostratégique",2,NA,2,NA,NA
"637","grand","ressource",2,NA,2,NA,NA
"638","ressource","mondial",2,NA,2,NA,NA
"639","mondial","fossile",2,NA,2,NA,NA
"640","ressource","minier",2,NA,2,NA,NA
"641","dictature","numérique",2,NA,1,1,NA
"642","climatique","naturel",2,NA,2,NA,NA
"643","immense","ressource",2,NA,2,NA,NA
"644","expansionnisme","économique",2,NA,2,NA,NA
"645","économique","russe",2,NA,2,NA,NA
"646","crise","énergétique",2,NA,1,NA,1
"647","nouveau","loi",2,NA,2,NA,NA
"648","nul","part",2,NA,2,NA,NA
"649","fameux","confinement",2,NA,2,NA,NA
"650","nouveau","mesure",2,NA,1,1,NA
"651","boule","puant",2,NA,2,NA,NA
"652","boite","puant",2,NA,2,NA,NA
"653","danger","penal",2,NA,2,NA,NA
"654","télégram","réunir",2,NA,2,NA,NA
"655","structure","économique",2,NA,2,NA,NA
"656","premier","confinement",2,NA,2,NA,NA
"657","agenda","mondialiste",2,NA,1,NA,1
"658","grand","site",2,NA,1,1,NA
"659","propagande","climatique",2,NA,2,NA,NA
"660","média","français",2,NA,2,NA,NA
"661","Pass","carbone",2,NA,2,NA,NA
"662","scientifique","riche",2,NA,2,NA,NA
"663","autre","nom",2,NA,2,NA,NA
"664","phase","final",2,NA,2,NA,NA
"665","dissidence","européen",2,NA,2,NA,NA
"666","personne","condamné",2,NA,2,NA,NA
"667","premier","expérience",2,NA,2,NA,NA
"668","monde","démocratique",2,NA,2,NA,NA
"669","santé","numérique",2,NA,2,NA,NA
"670","numérique","français",2,NA,2,NA,NA
"671","méthode","chinois",2,NA,2,NA,NA
"672","société","civil",2,NA,1,NA,1
"673","neutralité","climatique",2,NA,2,NA,NA
"674","confinement","écologique",2,NA,2,NA,NA
"675","activité","humain",2,NA,1,1,NA
"676","individuel","pavillon",2,NA,2,NA,NA
"677","problème","climatique",2,NA,1,NA,1
"678","particule","fin",2,NA,1,1,NA
"679","activité","industriel",2,NA,1,1,NA
"680","co-confinement","climatique",2,NA,2,NA,NA
"681","traçage","carbonique",2,NA,2,NA,NA
"682","nouveau","perdant",2,NA,2,NA,NA
"683","perdant","politique",2,NA,2,NA,NA
"684","entreprise","international",2,NA,2,NA,NA
"685","futur","confinement",2,NA,1,1,NA
"686","autre","pays",2,NA,2,NA,NA
"687","pass","climatique",2,NA,1,1,NA
"688","article","original",2,NA,1,1,NA
"689","alerte","rouge",2,NA,2,NA,NA
"690","fort","chaleur",2,NA,2,NA,NA
"691","système","électrique",2,NA,2,NA,NA
"692","fermeture","perpétuel",2,NA,2,NA,NA
"693","climatique","mondial",2,NA,1,NA,1
"694","vrai","dérèglement",2,NA,2,NA,NA
"695","dérèglement","climatique",2,NA,1,1,NA
"696","nouveau","lampadaire",2,NA,NA,2,NA
"697","impact","environnemental",2,NA,NA,2,NA
"698","acteur","privé",2,NA,NA,2,NA
"699","milieu","urbain",2,NA,NA,2,NA
"700","droit","international",2,NA,NA,2,NA
"701","application","provisoire",2,NA,NA,2,NA
"702","œuvre","effectif",2,NA,NA,2,NA
"703","initiative","mondial",2,NA,NA,2,NA
"704","banque","russe",2,NA,NA,2,NA
"705","jeton","numérique",2,NA,NA,2,NA
"706","paiement","social",2,NA,NA,2,NA
"707","monnaie","traçable",2,NA,NA,2,NA
"708","commentateur","russe",2,NA,NA,2,NA
"709","sphère","médiatique",2,NA,NA,2,NA
"710","médiatique","patriotique",2,NA,NA,2,NA
"711","réseau","national",2,NA,NA,2,NA
"712","quartier","numérique",2,NA,NA,2,NA
"713","surveillance","vidéo",2,NA,NA,2,NA
"714","jeune","Léningradois",2,NA,NA,2,NA
"715","menace","extérieur",2,NA,NA,2,NA
"716","gouvernement","régional",2,NA,NA,2,NA
"717","nombre","total",2,NA,NA,2,NA
"718","identification","biométrique",2,NA,NA,2,NA
"719","dépistage","corporel",2,NA,NA,2,NA
"720","prétendu","berceau",2,NA,NA,2,NA
"721","propre","vaccin",2,NA,NA,2,NA
"722","confèr","tout",2,NA,NA,2,NA
"723","fort","immunité",2,NA,NA,2,NA
"724","propre","projet",2,NA,NA,2,NA
"725","domaine","prometteur",2,NA,NA,2,NA
"726","vaccin","russe",2,NA,NA,2,NA
"727","russe","existant",2,NA,NA,2,NA
"728","banquier","adorateur",2,NA,NA,2,NA
"729","viande","artificiel",2,NA,NA,1,1
"730","vive","inquiétude",2,NA,NA,2,NA
"731","paradigme","mondial",2,NA,NA,2,NA
"732","sphère","numérique",2,NA,NA,2,NA
"733","objet","interconnectés-domotique",2,NA,NA,2,NA
"734","information","nommé",2,NA,NA,2,NA
"735","centralisation","excessif",2,NA,NA,2,NA
"736","futur","smart",2,NA,NA,2,NA
"737","sécurité","digital",2,NA,NA,2,NA
"738","grand","inquiétude",2,NA,NA,2,NA
"739","nouveau","version",2,NA,NA,2,NA
"740","symptôme","exhaustif",2,NA,NA,2,NA
"741","sensation","désagréable",2,NA,NA,2,NA
"742","concentration","pert",2,NA,NA,2,NA
"743","danger","réel",2,NA,NA,2,NA
"744","société","international",2,NA,NA,2,NA
"745","trouble","déficitaire",2,NA,NA,2,NA
"746","futur","utilisation",2,NA,NA,2,NA
"747","soi-disant","vaccin",2,NA,NA,2,NA
"748","large","échelle",2,NA,NA,2,NA
"749","trafic","aérien",2,NA,NA,2,NA
"750","journaliste","citoyen",2,NA,NA,2,NA
"751","premier","partie",2,NA,NA,2,NA
"752","jardin","inondable",2,NA,NA,2,NA
"753","ville","idéal",2,NA,NA,2,NA
"754","zone","humide",2,NA,NA,2,NA
"755","population","croissant",2,NA,NA,2,NA
"756","réfugié","climatique",2,NA,NA,2,NA
"757","ville","américain",2,NA,NA,2,NA
"758","certain","densité",2,NA,NA,2,NA
"759","densité","urbain",2,NA,NA,2,NA
"760","ville","bas",2,NA,NA,2,NA
"761","taxi","autonome",2,NA,NA,2,NA
"762","flotte","personnel",2,NA,NA,2,NA
"763","personnel","partagé",2,NA,NA,2,NA
"764","voiture","autonome",2,NA,NA,2,NA
"765","mesure","urgent",2,NA,NA,2,NA
"766","évènement","étrange",2,NA,NA,2,NA
"767","étrange","actuel",2,NA,NA,2,NA
"768","désastre","écologique",2,NA,NA,2,NA
"769","prochain","sujet",2,NA,NA,2,NA
"770","manière","régulier",2,NA,NA,2,NA
"771","seuil","réglementaire",2,NA,NA,2,NA
"772","manière","visible",2,NA,NA,2,NA
"773","département","entier",2,NA,NA,2,NA
"774","agglomération","supplémentaire",2,NA,NA,2,NA
"775","agglomération","urbain",2,NA,NA,2,NA
"776","futur","proche",2,NA,NA,1,1
"777","château","fort",2,NA,NA,2,NA
"778","monde","informatique",2,NA,NA,2,NA
"779","commune","populaire",2,NA,NA,2,NA
"780","paradis","socialiste",2,NA,NA,2,NA
"781","bien","collectif",2,NA,NA,2,NA
"782","école","gratuit",2,NA,NA,2,NA
"783","tâche","maternel",2,NA,NA,2,NA
"784","unité","familial",2,NA,NA,2,NA
"785","nouveau","règle",2,NA,NA,2,NA
"786","vie","collectif",2,NA,NA,2,NA
"787","gros","machine",2,NA,NA,2,NA
"788","nombreux","propriétaire",2,NA,NA,2,NA
"789","loti","changer",2,NA,NA,2,NA
"790","ultime","choix",2,NA,NA,2,NA
"791","Non-sens","écologique",2,NA,NA,2,NA
"792","injustice","social",2,NA,NA,2,NA
"793","bêtise","monumental",2,NA,NA,2,NA
"794","nombreux","véhicule",2,NA,NA,2,NA
"795","fameur","petit",2,NA,NA,2,NA
"796","petit","vignette",2,NA,NA,2,NA
"797","alliance","mondial",2,NA,NA,2,NA
"798","utilisation","responsable",2,NA,NA,2,NA
"799","politique","mondial",2,NA,NA,2,NA
"800","gouvernement","local",2,NA,NA,2,NA
"801","ville","pionnier",2,NA,NA,2,NA
"802","nombreux","commentateur",2,NA,NA,2,NA
"803","urbanisme","high-tech",2,NA,NA,2,NA
"804","maquette","alléchant",2,NA,NA,2,NA
"805","association","critique",2,NA,NA,2,NA
"806","installation","massif",2,NA,NA,2,NA
"807","autre","capteur",2,NA,NA,2,NA
"808","citoyen","cible",2,NA,NA,2,NA
"809","donnée","nominal",2,NA,NA,2,NA
"810","numérique","individuel",2,NA,NA,2,NA
"811","exploitation","possible",2,NA,NA,2,NA
"812","projet","public",2,NA,NA,2,NA
"813","table","ronde",2,NA,NA,2,NA
"814","ronde","citoyen",2,NA,NA,2,NA
"815","espionnage","secret",2,NA,NA,2,NA
"816","tel","projet",2,NA,NA,2,NA
"817","concept","même",2,NA,NA,2,NA
"818","ferme","humain",2,NA,NA,2,NA
"819","plein","milieu",2,NA,NA,2,NA
"820","promoteur","immobilier",2,NA,NA,2,NA
"821","communauté","avant-gardiste",2,NA,NA,2,NA
"822","réseau","numérique",2,NA,NA,2,NA
"823","haut","vitesse",2,NA,NA,2,NA
"824","centre","logistique",2,NA,NA,2,NA
"825","logistique","autonome",2,NA,NA,2,NA
"826","récent","communiqué",2,NA,NA,2,NA
"827","long","enquête",2,NA,NA,2,NA
"828","information","pratique",2,NA,NA,2,NA
"829","place","disponible",2,NA,NA,2,NA
"830","argent","magique",2,NA,NA,2,NA
"831","4éme","révolution",2,NA,NA,2,NA
"832","poussière","intelligent",2,NA,NA,2,NA
"833","agricole","fertile",2,NA,NA,2,NA
"834","service","intelligent",2,NA,NA,2,NA
"835","même","point",2,NA,NA,1,1
"836","projet","gouvernemental",2,NA,NA,2,NA
"837","bombe","social",2,NA,NA,2,NA
"838","directeur","général",2,NA,NA,1,1
"839","concentration","ouvrir",2,NA,NA,2,NA
"840","ancien","ingénieur",2,NA,NA,2,NA
"841","grand","métropole",2,NA,NA,2,NA
"842","sinistre","farce",2,NA,NA,2,NA
"843","carbone","personnalisé",2,NA,NA,2,NA
"844","faible","acceptation",2,NA,NA,2,NA
"845","important","évolution",2,NA,NA,2,NA
"846","front","social",2,NA,NA,2,NA
"847","contexte","actuel",2,NA,NA,2,NA
"848","nombre","impressionnant",2,NA,NA,2,NA
"849","distanciation","social",2,NA,NA,2,NA
"850","rôle","central",2,NA,NA,2,NA
"851","social","individuel",2,NA,NA,2,NA
"852","suivi","effectif",2,NA,NA,2,NA
"853","deuxième","semestre",2,NA,NA,2,NA
"854","nombreux","question",2,NA,NA,2,NA
"855","bon","pratique",2,NA,NA,2,NA
"856","dispositif","nécessaire",2,NA,NA,2,NA
"857","véhicule","polluant",2,NA,NA,2,NA
"858","supercherie","notoire",2,NA,NA,2,NA
"859","surveillance","total",2,NA,NA,2,NA
"860","technologie","émergent",2,NA,NA,2,NA
"861","élection","américain",2,NA,NA,2,NA
"862","élection","US",2,NA,NA,2,NA
"863","lien","commercial",2,NA,NA,2,NA
"864","enquête","nécessaire",2,NA,NA,2,NA
"865","intérêt","général",2,NA,NA,2,NA
"866","rapport","officiel",2,NA,NA,2,NA
"867","maladie","mental",2,NA,NA,2,NA
"868","type","crédit",2,NA,NA,2,NA
"869","sustainable","citie",2,NA,NA,2,NA
"870","ministère","indien",2,NA,NA,2,NA
"871","nouveau","conseiller",2,NA,NA,2,NA
"872","conseiller","technique",2,NA,NA,2,NA
"873","technique","presse",2,NA,NA,2,NA
"874","pôle","communication",2,NA,NA,2,NA
"875","journal","officiel",2,NA,NA,2,NA
"876","hydrogène","vert",2,NA,NA,2,NA
"877","prochain","élection",2,NA,NA,2,NA
"878","élection","présidentiel",2,NA,NA,2,NA
"879","dimension","territorial",2,NA,NA,2,NA
"880","Département","Thématique",2,NA,NA,2,NA
"881","politique","social",2,NA,NA,2,NA
"882","choix","technologique",2,NA,NA,2,NA
"883","intérêt","commun",2,NA,NA,2,NA
"884","évènement","culturel",2,NA,NA,2,NA
"885","capteur","élémentaire",2,NA,NA,2,NA
"886","aménagement","numérique",2,NA,NA,2,NA
"887","territoire","urbain",2,NA,NA,2,NA
"888","territoire","connecté",2,NA,NA,2,NA
"889","8ême","édition",2,NA,NA,2,NA
"890","nature","environnant",2,NA,NA,2,NA
"891","territoire","intelligent",2,NA,NA,2,NA
"892","nouveau","terrain",2,NA,NA,2,NA
"893","partenaire","mondial",2,NA,NA,2,NA
"894","innovation","numérique",2,NA,NA,2,NA
"895","économie","circulaire",2,NA,NA,1,1
"896","ville","durable",2,NA,NA,2,NA
"897","semaine","dernier",2,NA,NA,1,1
"898","grand","société",2,NA,NA,2,NA
"899","exclusion","social",2,NA,NA,2,NA
"900","échauffement","climatique",2,NA,NA,2,NA
"901","contrôle","mental",2,NA,NA,2,NA
"902","ancien","PDG",2,NA,NA,2,NA
"903","comportement","vertueux",2,NA,NA,2,NA
"904","dollar","américain",2,NA,NA,2,NA
"905","nouveau","nuage",2,NA,NA,2,NA
"906","modification","climatique",2,NA,NA,2,NA
"907","nouveau","espèce",2,NA,NA,1,1
"908","simple","partage",2,NA,NA,2,NA
"909","partage","social",2,NA,NA,2,NA
"910","esprit","participatif",2,NA,NA,2,NA
"911","gros","boîte",2,NA,NA,2,NA
"912","gigantesque","centre",2,NA,NA,2,NA
"913","centre","urbain",2,NA,NA,2,NA
"914","urbain","écologique",2,NA,NA,2,NA
"915","smart","grid",2,NA,NA,2,NA
"916","compagnie","énergétique",2,NA,NA,2,NA
"917","onde","électromagnétique",2,NA,NA,2,NA
"918","électromagnétique","cancérigène",2,NA,NA,2,NA
"919","nombre","même",2,NA,NA,2,NA
"920","voiture","essence",2,NA,NA,2,NA
"921","autre","problème",2,NA,NA,2,NA
"922","inégalité","social",2,NA,NA,2,NA
"923","pays","riche",2,NA,NA,2,NA
"924","gilet","jaune",2,NA,NA,2,NA
"925","nombreux","ménage",2,NA,NA,2,NA
"926","ménage","français",2,NA,NA,2,NA
"927","chambre","haut",2,NA,NA,2,NA
"928","véhicule","antérieur",2,NA,NA,2,NA
"929","poids","lourd",2,NA,NA,2,NA
"930","gazole","routier",2,NA,NA,2,NA
"931","milliardaire","canadien",2,NA,NA,2,NA
"932","commission","Trilatéral",2,NA,NA,2,NA
"933","relation","extérieur",2,NA,NA,2,NA
"934","long","date",2,NA,NA,2,NA
"935",",un","nouveau",2,NA,NA,2,NA
"936","intelligent","5G",2,NA,NA,2,NA
"937","véhicule","d",2,NA,NA,2,NA
"938","v","ête",2,NA,NA,2,NA
"939","ête","heureux",2,NA,NA,2,NA
"940","parle,bien","sûr",2,NA,NA,2,NA
"941","dérive","sécuritaire",2,NA,NA,2,NA
"942","safe","city",2,NA,NA,2,NA
"943","premier","brique",2,NA,NA,2,NA
"944","grand","propriétaire",2,NA,NA,1,1
"945","zone","rural",2,NA,NA,2,NA
"946","cadre","mondial",2,NA,NA,2,NA
"947","même","prédiction",2,NA,NA,2,NA
"948","“symbiose","humain",2,NA,NA,2,NA
"949","grand","pas",2,NA,NA,2,NA
"950","tâche","rapide",2,NA,NA,2,NA
"951","entité","mondialiste",2,NA,NA,2,NA
"952","gouvernement","saoudien",2,NA,NA,2,NA
"953","militant","clandestin",2,NA,NA,2,NA
"954","projet","controversé",2,NA,NA,2,NA
"955","livre","sterling",2,NA,NA,2,NA
"956","exécutif","européen",2,NA,NA,1,1
"957","œil","nu",2,NA,NA,NA,2
"958","manière","différent",2,NA,NA,NA,2
"959","nouveau","cellule",2,NA,NA,NA,2
"960","moindre","bobo",2,NA,NA,NA,2
"961","petit","mau",2,NA,NA,NA,2
"962","astuce","infaillible",2,NA,NA,NA,2
"963","grand","réconfort",2,NA,NA,NA,2
"964","argile","vert",2,NA,NA,NA,2
"965","grand","tasse",2,NA,NA,NA,2
"966","feu","éteint",2,NA,NA,NA,2
"967","petit","brûlure",2,NA,NA,NA,2
"968","action","apaisant",2,NA,NA,NA,2
"969","camomille","romain",2,NA,NA,NA,2
"970","eau","froid",2,NA,NA,NA,2
"971","bon","bain",2,NA,NA,NA,2
"972","bain","chaud",2,NA,NA,NA,2
"973","nourriture","industriel",2,NA,NA,NA,2
"974","délicieux","pain",2,NA,NA,NA,2
"975","grand","partie",2,NA,NA,NA,2
"976","bon","côte",2,NA,NA,NA,2
"977","Chers","habitant",2,NA,NA,NA,2
"978","merveilleux","planète",2,NA,NA,NA,2
"979","tradition","oral",2,NA,NA,NA,2
"980","pays","grand",2,NA,NA,NA,2
"981","valeur","principal",2,NA,NA,NA,2
"982","autre","ressource",2,NA,NA,NA,2
"983","Grands","Tatars",2,NA,NA,NA,2
"984","langue","russe",2,NA,NA,NA,2
"985","Tatar","russe",2,NA,NA,NA,2
"986","juif","russe",2,NA,NA,NA,2
"987","peuple","russe",2,NA,NA,NA,2
"988","soldat","russe",2,NA,NA,NA,2
"989","organe","génital",2,NA,NA,NA,2
"990","dernier","guerre",2,NA,NA,NA,2
"991","prochain","procès",2,NA,NA,NA,2
"992","femme","enceint",2,NA,NA,NA,2
"993","personne","sensé",2,NA,NA,NA,2
"994","autre","démocrate",2,NA,NA,NA,2
"995","démocrate","noir",2,NA,NA,NA,2
"996","esprit","nazis",2,NA,NA,NA,2
"997","nouveau","vague",2,NA,NA,NA,2
"998","frontière","historique",2,NA,NA,NA,2
"999","nouveau","vie",2,NA,NA,NA,2
"1000","organe","reproducteur",2,NA,NA,NA,2
"1001","nouveau","cancer",2,NA,NA,NA,2
"1002","nazisme","ukrainien",2,NA,NA,NA,2
"1003","gens","pacifique",2,NA,NA,NA,2
"1004","faucon","américain",2,NA,NA,NA,2
"1005","dernier","retranchement",2,NA,NA,NA,2
"1006","nazi","ukrainien",2,NA,NA,NA,2
"1007","prix","élevé",2,NA,NA,NA,2
"1008","trouble","futur",2,NA,NA,NA,2
"1009","même","crime",2,NA,NA,NA,2
"1010","nouveau","nourriture",2,NA,NA,NA,2
"1011","conséquence","grave",2,NA,NA,NA,2
"1012","grave","entre-autre",2,NA,NA,NA,2
"1013","petit","tour",2,NA,NA,NA,2
"1014","façon","éclairé",2,NA,NA,NA,2
"1015","ancien","employé",2,NA,NA,NA,2
"1016","cycle","alimentaire",2,NA,NA,NA,2
"1017","média","allemand",2,NA,NA,NA,2
"1018","source","alternative",2,NA,NA,NA,2
"1019","produit","biologique",2,NA,NA,NA,2
"1020","alimentaire","mondial",2,NA,NA,NA,2
"1021","aminé","essentiel",2,NA,NA,NA,2
"1022","alimentation","sain",2,NA,NA,NA,2
"1023","nouveau","additif",2,NA,NA,NA,2
"1024","dîner","traditionnel",2,NA,NA,NA,2
"1025","vertical","spécialiser",2,NA,NA,NA,2
"1026","opinion","favorable",2,NA,NA,NA,2
"1027","janvier","dernier",2,NA,NA,NA,2
"1028","insecter","entier",2,NA,NA,NA,2
"1029","farine","sécher",2,NA,NA,NA,2
"1030","autre","avis",2,NA,NA,NA,2
"1031","nouveau","appellation",2,NA,NA,NA,2
"1032","étiquette","alimentaire",2,NA,NA,NA,2
"1033","biscuit","sec",2,NA,NA,NA,2
"1034","boisson","similaire",2,NA,NA,NA,2
"1035","grillon","comestible",2,NA,NA,NA,2
"1036","industrie","alimentaire",2,NA,NA,NA,2
"1037","beurre","larvaire",2,NA,NA,NA,2
"1038","penseur","américain",2,NA,NA,NA,2
"1039","alarmisme","écologique",2,NA,NA,NA,2
"1040","sage","dirigeant",2,NA,NA,NA,2
"1041","alimentation","écologique",2,NA,NA,NA,2
"1042","économie","mondial",2,NA,NA,NA,2
"1043","tel","crise",2,NA,NA,NA,2
"1044","alimentaire","artificiel",2,NA,NA,NA,2
"1045","nouveau","tyrannie",2,NA,NA,NA,2
"1046","tyrannie","alimentaire",2,NA,NA,NA,2
"1047","prémélange","sec",2,NA,NA,NA,2
"1048","viande","synthétique",2,NA,NA,NA,2
"1049","mention","spécial",2,NA,NA,NA,2
"1050","produit","industriel",2,NA,NA,NA,2
"1051","meilleur","ami",2,NA,NA,NA,2
"1052","second","guerre",2,NA,NA,NA,2
"1053","éventuel","réaction",2,NA,NA,NA,2
"1054","nouveau","expérience",2,NA,NA,NA,2
"1055","forum","économique",2,NA,NA,NA,2
"1056","liste","confidentiel",2,NA,NA,NA,2
"1057","responsable","gouvernemental",2,NA,NA,NA,2
"1058","ministre","déléguer",2,NA,NA,NA,2
"1059","parti","politique",2,NA,NA,NA,2
"1060","centre","gauche",2,NA,NA,NA,2
"1061","nombreux","mainstream",2,NA,NA,NA,2
"1062","logiciel","défectueux",2,NA,NA,NA,2
"1063","cadeau","fiscal",2,NA,NA,NA,2
"1064","ingrédient","premium",2,NA,NA,NA,2
"1065","haut","valeur",2,NA,NA,NA,2
"1066","solution","écologique",2,NA,NA,NA,2
"1067","mondial","croissant",2,NA,NA,NA,2
"1068","brevet","issu",2,NA,NA,NA,2
"1069","3ème","unité",2,NA,NA,NA,2
"1070","institution","public",2,NA,NA,NA,2
"1071","haut","standard",2,NA,NA,NA,2
"1072","performance","social",2,NA,NA,NA,2
"1073","important","unité",2,NA,NA,NA,2
"1074","unité","industriel",2,NA,NA,NA,2
"1075","scaler","production",2,NA,NA,NA,2
"1076","échelle","industriel",2,NA,NA,NA,2
"1077","ressource","nutritif",2,NA,NA,NA,2
"1078","bioéconomiey","nouveau",2,NA,NA,NA,2
"1079","grand","média",2,NA,NA,NA,2
"1080","agricole","américain",2,NA,NA,NA,2
"1081","tout","autre",2,NA,NA,NA,2
"1082","source","inconnu",2,NA,NA,NA,2
"1083","tendance","croissant",2,NA,NA,NA,2
"1084","nourriture","bon",2,NA,NA,NA,2
"1085","inflation","croissant",2,NA,NA,NA,2
"1086","prochain","grand",2,NA,NA,NA,2
"1087","grand","chose",2,NA,NA,NA,2
"1088","même","goût",2,NA,NA,NA,2
"1089","astronaute","italien",2,NA,NA,NA,2
"1090","station","spatial",2,NA,NA,NA,2
"1091","bon","goût",2,NA,NA,NA,2
"1092","vers","vers",2,NA,NA,NA,2
"1093","américain","dément",2,NA,NA,NA,2
"1094","fait","évident",2,NA,NA,NA,2
"1095","printemps","dernier",2,NA,NA,NA,2
"1096","concitoyen","américain",2,NA,NA,NA,2
"1097","gauche","commun",2,NA,NA,NA,2
"1098","cafard","frit",2,NA,NA,NA,2
"1099","autre","terme",2,NA,NA,NA,2
"1100","élite","riche",2,NA,NA,NA,2
"1101","république","pièce",2,NA,NA,NA,2
"1102","seul","modèle",2,NA,NA,NA,2
"1103","véritable","raison",2,NA,NA,NA,2
"1104","tsunami","économique",2,NA,NA,NA,2
"1105","snack","canadien",2,NA,NA,NA,2
"1106","principal","ingrédient",2,NA,NA,NA,2
"1107","prochain","jour",2,NA,NA,NA,2
"1108","grillon","biologique",2,NA,NA,NA,2
"1109","essentiel","incontournable",2,NA,NA,NA,2
"1110","gouvernement","canadien",2,NA,NA,NA,2
"1111","protéine","riche",2,NA,NA,NA,2
"1112","aliment","sain",2,NA,NA,NA,2
"1113","prison","barge",2,NA,NA,NA,2
"1114","état","policier",2,NA,NA,NA,2
"1115","conscience","humain",2,NA,NA,NA,2
"1116","grand","rôle",2,NA,NA,NA,2
"1117","contrôle","technologique",2,NA,NA,NA,2
"1118","énergie","libre",2,NA,NA,NA,2
"1119","vaisseau","anti-gravité",2,NA,NA,NA,2
"1120","condition","médical",2,NA,NA,NA,2
"1121","composant","nanotechnologique",2,NA,NA,NA,2
"1122","machine","auto-assimilateur",2,NA,NA,NA,2
"1123","certain","fréquence",2,NA,NA,NA,2
"1124","grand","infrastructure",2,NA,NA,NA,2
"1125","moustique","vecteur",2,NA,NA,NA,2
"1126","agriculture","traditionnel",2,NA,NA,NA,2
"1127","protéine","animal",2,NA,NA,NA,2
"1128","ingrédient","alimentaire",2,NA,NA,NA,2
"1129","source","alimentaire",2,NA,NA,NA,2
"1130","État","profond",2,NA,NA,NA,2
"1131","armée","américain",2,NA,NA,NA,2
"1132","énorme","problème",2,NA,NA,NA,2
"1133","nombre","limité",2,NA,NA,NA,2
"1134","client","britannique",2,NA,NA,NA,2
"1135","poulet","frit",2,NA,NA,NA,2
"1136","télévision","américain",2,NA,NA,NA,2
"1137","pénurie","persistant",2,NA,NA,NA,2
"1138","promotion","agressif",2,NA,NA,NA,2
"1139","quantité","abondant",2,NA,NA,NA,2
"1140","demande","croissant",2,NA,NA,NA,2
"1141","bon","nouvelle",2,NA,NA,NA,2
"1142","approvisionnement","complexe",2,NA,NA,NA,2
"1143","tâche","difficile",2,NA,NA,NA,2
"1144","maître","artiste",2,NA,NA,NA,2
"1145","précieux","art",2,NA,NA,NA,2
"1146","principe","pur",2,NA,NA,NA,2
"1147","proportion","élégant",2,NA,NA,NA,2
"1148","dimension","mystique",2,NA,NA,NA,2
"1149","composant","invisible",2,NA,NA,NA,2
"1150","cosmométrie","sacrer",2,NA,NA,NA,2
"1151","regard","fixe",2,NA,NA,NA,2
"1152","mathématique","strict",2,NA,NA,NA,2
"1153","strict","nécessaire",2,NA,NA,NA,2
"1154","perspective","requérir",2,NA,NA,NA,2
"1155","abandon","sauvage",2,NA,NA,NA,2
"1156","flux","libre",2,NA,NA,NA,2
"1157","position","malheureux",2,NA,NA,NA,2
"1158","origine","inconnu",2,NA,NA,NA,2
"1159","paradigme","alimentaire",2,NA,NA,NA,2
"1160","bio","surveillance",2,NA,NA,NA,2
"1161","ennemi","invisible",2,NA,NA,NA,2
"1162","base","souterrain",2,NA,NA,NA,2
"1163","civilisation","invisible",2,NA,NA,NA,2
"1164","autre","crime",2,NA,NA,NA,2
"1165","crime","grave",2,NA,NA,NA,2
"1166","seul","mot",2,NA,NA,NA,2
"1167","regard","inébranlable",2,NA,NA,NA,2
"1168","militaire","américain",2,NA,NA,NA,2
"1169","petit","assemblée",2,NA,NA,NA,2
"1170","costume","sombre",2,NA,NA,NA,2
"1171","ancien","maire",2,NA,NA,NA,2
"1172","rôle","essentiel",2,NA,NA,NA,2
"1173","treillis","métallique",2,NA,NA,NA,2
"1174","limite","sud",2,NA,NA,NA,2
"1175","boîte","rectangulaire",2,NA,NA,NA,2
"1176","bouton","rouge",2,NA,NA,NA,2
"1177","rouge","circulaire",2,NA,NA,NA,2
"1178","autre","soldat",2,NA,NA,NA,2
"1179","noeud","coulant",2,NA,NA,NA,2
"1180","index","gauche",2,NA,NA,NA,2
"1181","dernier","sacrement",2,NA,NA,NA,2
