"","term1","term2","cooc","fifteen_minutes","climate_lockdown","ulez","insect"
"111","insect","protein",18,NA,NA,1,17
"112","artificial","meat",18,NA,NA,NA,18
"113","eat","insect",18,NA,NA,NA,18
"114","net","zero",17,4,5,7,1
"115","middle","class",17,3,NA,7,7
"116","public","transport",17,11,NA,7,NA
"117","bank","digital",17,10,4,3,NA
"118","surveillance","state",17,2,1,17,NA
"119","whole","world",17,1,NA,9,7
"120","general","public",17,3,1,1,13
"121","recognition","technology",17,1,NA,16,NA
"122","electric","car",17,4,NA,12,1
"123","health","benefit",17,1,NA,1,16
"124","greenhouse","gas",17,1,1,7,8
"125","production","facility",17,NA,1,1,15
"126","street","light",17,NA,NA,17,NA
"127","canadian","government",17,NA,NA,4,13
"128","global","food",17,NA,NA,2,15
"129","labeling","requirement",17,NA,NA,NA,17
"130","insect","eating",17,NA,NA,NA,17
"131","other","thing",16,4,2,5,5
"132","local","councils",16,4,1,13,NA
"133","carbon","credit",16,6,NA,3,10
"134","real","estate",16,1,NA,14,1
"135","control","grid",16,2,2,12,NA
"136","smart","camera",16,15,10,3,NA
"137","many","time",16,1,5,5,6
"138","speed","rail",16,NA,NA,16,NA
"139","food","system",16,NA,NA,NA,16
"140","insect","snack",16,NA,NA,NA,16
"141","insect","powder",16,NA,NA,NA,16
"142","best","wish",15,11,3,1,NA
"143","total","surveillance",15,2,NA,12,1
"144","land","grab",15,5,1,10,NA
"145","share","➡️",15,8,NA,6,3
"146","smart","meter",15,2,NA,13,NA
"147","surveillance","system",15,6,1,9,NA
"148","plate","recognition",15,7,5,4,NA
"149","new","rule",15,NA,1,12,2
"150","immune","system",15,NA,2,2,11
"151","meat","substitute",15,NA,NA,NA,15
"152","insect","part",15,NA,NA,NA,15
"153","animal","protein",15,NA,NA,NA,15
"154","Facial","recognition",14,5,1,9,NA
"155","local","authority",14,4,4,9,NA
"156","minute","prison",14,3,NA,11,1
"157","few","year",14,2,NA,9,4
"158","other","country",14,3,3,4,5
"159","order","review",14,7,2,4,3
"160","air","prison",14,10,1,2,1
"161","next","step",14,7,6,3,1
"162","climate","crisis",14,10,2,8,1
"163","den","unsichtbaren",14,5,3,6,3
"164","vaccine","passport",14,1,3,9,1
"165","more","people",14,7,1,5,2
"166","min","city",14,5,6,7,4
"167","lady","educate",14,14,NA,NA,NA
"168","development","goal",14,1,2,11,4
"169","graphene","oxide",14,1,NA,1,12
"170","private","car",14,4,10,NA,NA
"171","good","one",14,12,NA,NA,2
"172","toxic","chemical",14,2,NA,2,10
"173","digital","technology",14,1,NA,13,NA
"174","climate","Lockdown",14,2,14,NA,NA
"175","private","property",14,NA,1,13,NA
"176","low","traffic",14,NA,NA,14,NA
"177","Reset","agenda",14,NA,NA,13,1
"178","animal","such",14,NA,NA,5,9
"179","other","source",14,NA,NA,4,10
"180","meat","preparation",14,NA,NA,NA,14
"181","cereal","bar",14,NA,NA,NA,14
"182","human","flesh",14,NA,NA,NA,14
"183","insect","food",14,NA,NA,NA,14
"184","long","time",13,1,1,8,4
"185","telegram","messenger",13,3,1,7,2
"186","full","video",13,4,4,6,NA
"187","other","people",13,3,2,6,4
"188","Reset","◀️",13,5,3,5,3
"189","own","neighbourhood",13,12,11,3,NA
"190","open","air",13,8,NA,4,1
"191","GreatReject","shop",13,5,2,5,1
"192","economic","forum",13,1,1,1,10
"193","gas","emission",13,1,1,8,3
"194","surveillance","prison",13,12,NA,1,NA
"195","smart","phone",13,1,1,11,NA
"196","air","quality",13,1,3,9,NA
"197","fake","news",13,1,5,2,7
"198","human","race",13,NA,1,7,6
"199","lot","more",13,NA,2,4,7
"200","uncensored","news",13,NA,3,3,7
"201","useless","eater",13,NA,NA,6,9
"202","urban","environment",13,NA,NA,13,NA
"203","true","today",13,NA,NA,13,NA
"204","human","genome",13,NA,NA,4,9
"205","mini","-doc",13,NA,NA,13,NA
"206","human","body",13,NA,NA,5,8
"207","ice","cream",13,NA,NA,NA,13
"208","potato","product",13,NA,NA,NA,13
"209","chocolate","product",13,NA,NA,NA,13
"210","behavioral","change",13,NA,NA,NA,13
"211","unprejudiced","child",13,NA,NA,NA,13
"212","drug","dog",13,NA,NA,NA,13
"213","hungry","sandfly",13,NA,NA,NA,13
"214","messenger","group",12,3,1,6,2
"215","mass","vaccination",12,1,4,7,NA
"216","end","game",12,2,4,5,1
"217","digital","money",12,1,2,8,1
"218","5g","damage",12,3,6,4,2
"219","city","council",12,8,2,2,NA
"220","/𝟽","𝚞𝚗𝚌𝚎𝚗𝚜𝚘𝚛𝚎𝚍",12,5,1,3,3
"221","emission","standard",12,8,NA,12,NA
"222","crazy","digital",12,12,NA,NA,NA
"223","bank","account",12,1,1,9,1
"224","carbon","dioxide",12,4,1,7,2
"225","long","term",12,1,NA,9,3
"226","virtual","reality",12,1,NA,12,NA
"227","human","being",12,1,NA,2,9
"228","meat","consumption",12,1,NA,6,6
"229","4th","industrial",12,NA,1,11,2
"230","same","amount",12,NA,NA,4,8
"231","future","smart",12,NA,NA,12,NA
"232","clock","surveillance",12,NA,NA,12,NA
"233","high","speed",12,NA,NA,11,3
"234","metric","ton",12,NA,NA,3,9
"235","pasta","product",12,NA,NA,NA,12
"236","free","speech",11,4,NA,6,1
"237","prison","city",11,5,1,6,NA
"238","raw","truth",11,3,NA,6,2
"239","cashless","society",11,6,3,4,NA
"240","more","lie",11,9,1,NA,1
"241","Great","Reset",11,3,NA,8,NA
"242","western","world",11,10,NA,1,NA
"243","local","council",11,5,2,6,NA
"244","general","population",11,1,NA,1,9
"245","clean","air",11,6,1,6,NA
"246","new","normal",11,3,1,3,4
"247","dystopian","reality",11,11,NA,NA,NA
"248","carbon","tax",11,2,6,4,5
"249","old","girl",11,11,NA,NA,NA
"250","many","other",11,1,NA,1,9
"251","recognition","system",11,1,NA,10,NA
"252","✳️","watch",11,3,NA,3,5
"253","electronic","gate",11,8,11,NA,NA
"254","natural","food",11,NA,1,4,7
"255","Water","Wars",11,NA,11,NA,NA
"256","5g","network",11,NA,NA,6,5
"257","technocratic","control",11,NA,NA,11,NA
"258","social","responsibility",11,NA,NA,11,NA
"259","white","hat",11,NA,NA,2,9
"260","folk","medicine",11,NA,NA,NA,11
"261","other","insect",11,NA,NA,NA,11
"262","fewer","bird",11,NA,NA,NA,11
"263","broken","food",11,NA,NA,NA,11
"264","compliance","test",11,NA,NA,NA,11
"265","domestic","cricket",11,NA,NA,NA,11
"266","soup","concentrate",11,NA,NA,NA,11
"267","Hollywood","star",11,NA,NA,NA,11
"268","minute","neighborhood",10,9,2,1,NA
"269","digital","Currencies",10,2,2,5,1
"270","climate","agenda",10,3,7,NA,1
"271","real","time",10,2,NA,7,1
"272","black","rock",10,9,NA,1,NA
"273","global","leader",10,2,1,5,2
"274","open","prison",10,4,1,6,NA
"275","urban","area",10,2,NA,8,NA
"276","net","Zero",10,9,NA,6,1
"277","▶️","@Corona_",10,5,1,2,3
"278","@Corona_","Reset",10,5,1,2,3
"279","eat","bug",10,3,NA,NA,7
"280","many","more",10,2,1,7,4
"281","prison","camp",10,6,1,3,NA
"282","first","time",10,2,NA,6,2
"283","score","system",10,3,NA,6,1
"284","beast","system",10,3,NA,7,NA
"285","real","life",10,3,1,4,3
"286","same","people",10,5,3,2,1
"287","entrance","gate",10,10,NA,NA,NA
"288","user","charge",10,1,NA,10,NA
"289","scheme","resident",10,10,10,2,NA
"290","car","detail",10,10,10,2,NA
"291","better","world",10,3,3,1,3
"292","single","day",10,6,NA,1,3
"293","city","agenda",10,3,NA,8,NA
"294","more","insect",10,1,NA,1,10
"295","world","leader",10,1,1,4,5
"296","follow","WCh",10,10,NA,NA,NA
"297","weather","modification",10,2,3,7,NA
"298","data","surveillance",10,NA,10,10,NA
"299","speed","limit",10,NA,1,9,NA
"300","natural","resource",10,NA,NA,4,6
"301","camera","record",10,NA,NA,10,NA
"302","record","image",10,NA,NA,10,NA
"303","emission","zone",10,NA,NA,10,NA
"304","vehicle","produce",10,NA,NA,10,NA
"305","end","goal",10,NA,NA,9,1
"306","food","producer",10,NA,NA,NA,10
"307","green","light",10,NA,NA,NA,10
"308","dry","premix",10,NA,NA,NA,10
"309","human","food",10,NA,NA,NA,10
"310","soup","powder",10,NA,NA,NA,10
"311","fatty","acid",10,NA,NA,NA,10
"312","less","land",10,NA,NA,NA,10
"313","insect","production",10,NA,NA,NA,10
"314","animal","product",10,NA,NA,NA,10
"315","rural","area",9,2,NA,5,2
"316","cordless","angle",9,9,NA,NA,NA
"317","angle","grinder",9,9,NA,NA,NA
"318","change","agenda",9,3,1,3,2
"319","test","balloon",9,9,1,NA,NA
"320","next","thing",9,6,3,NA,NA
"321","neighborhood","zone",9,9,NA,NA,NA
"322","entire","world",9,1,2,5,1
"323","freedom","city",9,3,NA,7,NA
"324","grocery","store",9,3,NA,NA,6
"325","most","other",9,1,NA,NA,8
"326","next","year",9,2,2,6,1
"327","dystopian","future",9,3,NA,6,NA
"328","style","social",9,2,4,2,1
"329","covid","lockdown",9,2,8,NA,NA
"330","global","population",9,1,1,6,1
"331","urban","planning",9,6,NA,3,NA
"332","mass","surveillance",9,1,NA,8,NA
"333","daily","mail",9,1,NA,3,5
"334","smart","home",9,3,NA,6,NA
"335","minimum","emission",9,8,NA,9,NA
"336","stepping","stone",9,6,3,6,NA
"337","carbon","allowance",9,5,NA,4,1
"338","more","detail",9,2,1,5,3
"339","face","scan",9,9,NA,NA,NA
"340","same","thing",9,1,1,3,4
"341","license","plate",9,5,NA,4,NA
"342","climate","restriction",9,9,NA,NA,NA
"343","local","resident",9,1,NA,8,NA
"344","energy","crisis",9,1,3,3,2
"345","https://instagram.com/sgtnewsnetwork)ut","[h",9,5,2,1,2
"346","first","step",9,1,3,6,2
"347","new","smart",9,1,NA,8,NA
"348","only","way",9,1,NA,5,3
"349","strange","background",9,9,NA,NA,NA
"350","other","word",9,1,2,4,5
"351","investigative","journalist",9,NA,9,NA,NA
"352","prime","people",9,NA,9,NA,NA
"353","carbon","max",9,NA,7,5,NA
"354","global","scale",9,NA,1,5,3
"355","air","pollution",9,NA,6,3,NA
"356","side","effect",9,NA,1,NA,8
"357","law","enforcement",9,NA,1,8,1
"358","city","technology",9,NA,NA,9,NA
"359","merge","man",9,NA,NA,9,NA
"360","australian","government",9,NA,NA,9,NA
"361","other","part",9,NA,NA,4,5
"362","human","meat",9,NA,NA,3,6
"363","pet","food",9,NA,NA,NA,9
"364","dandelion","flower",9,NA,NA,NA,9
"365","other","semi-finished",9,NA,NA,NA,9
"366","semi-finished","product",9,NA,NA,NA,9
"367","meat","analogue",9,NA,NA,NA,9
"368","vegetarian","meat",9,NA,NA,NA,9
"369","meat","alternative",9,NA,NA,NA,9
"370","peanut","butter",9,NA,NA,NA,9
"371","new","year",9,NA,NA,NA,9
"372","anaphylactic","reaction",9,NA,NA,NA,9
"373","possible","allergic",9,NA,NA,NA,9
"374","german","customer",9,NA,NA,NA,9
"375","today","powder",9,NA,NA,NA,9
"376","parent","aware",9,NA,NA,NA,9
"377","largest","cricket",9,NA,NA,NA,9
"378","fewer","resource",9,NA,NA,NA,9
"379","european","diet",9,NA,NA,NA,9
"380","good","thing",8,3,1,NA,4
"381","credit","totalitarian",8,8,NA,NA,NA
"382","mobile","phone",8,4,NA,3,1
"383","Herbalism","group",8,2,NA,6,2
"384","covid","vaccine",8,1,5,1,2
"385","many","way",8,2,1,NA,5
"386","face","recognition",8,6,NA,2,NA
"387","private","vehicle",8,5,2,1,1
"388","guest","speaker",8,8,NA,NA,NA
"389","fossil","fuel",8,1,2,4,1
"390","slavery","system",8,1,1,5,2
"391","totalitarian","control",8,7,NA,1,NA
"392","deep","state",8,1,NA,5,2
"393","first","city",8,3,1,4,NA
"394","Resilient","city",8,2,NA,8,NA
"395","number","plate",8,4,3,2,NA
"396","police","state",8,1,4,2,2
"397","human","history",8,2,1,4,3
"398","city","infrastructure",8,1,NA,8,NA
"399","emergency","call",8,2,NA,8,NA
"400","next","week",8,1,NA,1,6
"401","latest","stage",8,8,8,NA,NA
"402","key","roads",8,8,8,NA,NA
"403","city","data",8,NA,8,8,NA
"404","food","supplly",8,NA,2,5,4
"405","red","meat",8,NA,3,NA,5
"406","such","thing",8,NA,1,4,3
"407","𝙶𝙴𝙽𝙴𝚂𝙸𝚂","𝚌𝚑𝚊𝚝",8,NA,3,2,3
"408","fake","food",8,NA,1,2,6
"409","full","swing",8,NA,1,3,4
"410","mind","control",8,NA,1,2,5
"411","globalist","agenda",8,NA,1,4,3
"412","good","news",8,NA,1,3,4
"413","biological","weapon",8,NA,1,1,7
"414","massive","problem",8,NA,8,NA,NA
"415","Water","War",8,NA,8,NA,NA
"416","digital","control",8,NA,NA,7,2
"417","city","project",8,NA,NA,8,NA
"418","only","one",8,NA,NA,1,7
"419","ULEZ","cameras",8,NA,NA,8,NA
"420","new","system",8,NA,NA,8,NA
"421","human","health",8,NA,NA,4,4
"422","satanic","ritual",8,NA,NA,1,7
"423","personal","trainer",8,NA,NA,8,NA
"424","real","effort",8,NA,NA,8,NA
"425","next","generation",8,NA,NA,6,3
"426","credit","scor",8,NA,NA,8,NA
"427","city","governance",8,NA,NA,8,NA
"428","min","mini",8,NA,NA,8,NA
"429","camera","technology",8,NA,NA,8,NA
"430","long","way",8,NA,NA,1,7
"431","insect","bite",8,NA,NA,NA,8
"432","insect","diet",8,NA,NA,NA,8
"433","european","food",8,NA,NA,NA,8
"434","1800s","people",8,NA,NA,NA,8
"435","other","useful",8,NA,NA,NA,8
"436","longest","flowering",8,NA,NA,NA,8
"437","flowering","season",8,NA,NA,NA,8
"438","Dandelion","flower",8,NA,NA,NA,8
"439","chinese","traditional",8,NA,NA,NA,8
"440","traditional","medicine",8,NA,NA,NA,8
"441","liver","disorder",8,NA,NA,NA,8
"442","dandelion","act",8,NA,NA,NA,8
"443","successful","plant",8,NA,NA,NA,8
"444","yellow","mealworm",8,NA,NA,NA,8
"445","ground","cricket",8,NA,NA,NA,8
"446","whey","powder",8,NA,NA,NA,8
"447","food","industry",8,NA,NA,NA,8
"448","specific","labeling",8,NA,NA,NA,8
"449","sustainable","food",8,NA,NA,NA,8
"450","good","source",8,NA,NA,NA,8
"451","service","station",8,NA,NA,NA,8
"452","Truth","Social🔗",8,NA,NA,NA,8
"453","alternative","source",8,NA,NA,NA,8
"454","pet","consumption",8,NA,NA,NA,8
"455","new","plant",8,NA,NA,NA,8
"456","efficient","alternative",8,NA,NA,NA,8
"457","🦘","🦘",8,NA,NA,NA,8
"458","hungry","sand",8,NA,NA,NA,8
"459","knowledge","guidance",7,3,NA,4,NA
"460","full","footage",7,7,NA,NA,NA
"461","minute","walk",7,6,NA,3,NA
"462","city","'s",7,3,NA,6,NA
"463","open","border",7,1,NA,NA,6
"464","ordinary","citizen",7,4,NA,2,1
"465","vast","majority",7,2,NA,3,2
"466","local","election",7,6,NA,2,NA
"467","executive","order",7,2,NA,3,2
"468","last","night",7,2,NA,5,1
"469","conspiracy","theories",7,3,NA,1,4
"470","few","hour",7,1,1,2,3
"471","control","system",7,3,NA,4,1
"472","whole","thing",7,2,NA,5,1
"473","Join➣","@We_The_People_US",7,2,NA,NA,5
"474","code","scanner",7,7,NA,NA,NA
"475","walking","distance",7,5,2,2,NA
"476","Anpr","camera",7,5,NA,2,NA
"477","science","fiction",7,1,NA,3,3
"478","sustainable","development",7,1,1,4,2
"479","cell","towers",7,1,NA,NA,6
"480","Covid","passport",7,5,NA,2,NA
"481","few","day",7,1,1,3,2
"482","Oxford","resident",7,7,NA,1,NA
"483","private","ownership",7,1,6,NA,1
"484","constant","surveillance",7,1,NA,4,2
"485","id","control",7,NA,7,7,NA
"486","health","emergency",7,NA,6,NA,1
"487","next","phase",7,NA,3,3,2
"488","new","co2",7,NA,7,3,NA
"489","Us👉","@SGTnewsNetwork",7,NA,2,3,2
"490","young","people",7,NA,1,NA,6
"491","health","passport",7,NA,2,5,NA
"492","small","part",7,NA,1,5,1
"493","secret","society",7,NA,NA,4,3
"494","real","reason",7,NA,NA,3,4
"495","land","development",7,NA,NA,7,NA
"496","low","emission",7,NA,NA,7,NA
"497","sex","trafficking",7,NA,NA,6,1
"498","prime","minister",7,NA,NA,3,4
"499","last","few",7,NA,NA,5,2
"500","dystopian","social",7,NA,NA,7,NA
"501","score","future",7,NA,NA,7,NA
"502","official","release",7,NA,NA,7,NA
"503","smarter","road",7,NA,NA,7,NA
"504","parking","space",7,NA,NA,7,NA
"505","global","economic",7,NA,NA,5,2
"506","private","partnership",7,NA,NA,7,NA
"507","synthetic","biology",7,NA,NA,6,1
"508","agricultural","sector",7,NA,NA,5,2
"509","full","Vide",7,NA,NA,7,NA
"510","Gene-editing","technology",7,NA,NA,7,NA
"511","new","code",7,NA,NA,7,NA
"512","level","permissions",7,NA,NA,7,NA
"513","per","cent",7,NA,NA,3,4
"514","final","Lockdown",7,NA,NA,7,NA
"515","lamp","post",7,NA,NA,7,NA
"516","human","population",7,NA,NA,4,3
"517","common","people",7,NA,NA,4,3
"518","western","nation",7,NA,NA,7,NA
"519","social","distancing",7,NA,NA,7,NA
"520","wireless","communication",7,NA,NA,7,NA
"521","electromagnetic","field",7,NA,NA,3,4
"522","R[","umble",7,NA,NA,3,4
"523","m[","ind",7,NA,NA,3,4
"524","federal","government",7,NA,NA,6,1
"525","same","way",7,NA,NA,3,4
"526","smart","dust",7,NA,NA,7,NA
"527","essential","oil",7,NA,NA,NA,7
"528","honey","bee",7,NA,NA,NA,7
"529","animal","feed",7,NA,NA,NA,7
"530","legislative","war",7,NA,NA,NA,7
"531","normal","citizen",7,NA,NA,NA,7
"532","bird","flu",7,NA,NA,NA,7
"533","drink","water",7,NA,NA,NA,7
"534","bad","water",7,NA,NA,NA,7
"535","food","item",7,NA,NA,NA,7
"536","unfilled","pasta",7,NA,NA,NA,7
"537","chocolate","bar",7,NA,NA,NA,7
"538","little","publish",7,NA,NA,NA,7
"539","publish","knowledge",7,NA,NA,NA,7
"540","possible","anaphylactic",7,NA,NA,NA,7
"541","dust","mite",7,NA,NA,NA,7
"542","new","allergic",7,NA,NA,NA,7
"543","unknown","origin",7,NA,NA,NA,7
"544","full","force",7,NA,NA,NA,7
"545","other","animal",7,NA,NA,NA,7
"546","animal","food",7,NA,NA,NA,7
"547","q","op",7,NA,NA,NA,7
"548","food","company",7,NA,NA,NA,7
"549","quality","protein",7,NA,NA,NA,7
"550","food","crop",7,NA,NA,NA,7
"551","elementary","school",7,NA,NA,NA,7
"552","diatomaceous","earth",7,NA,NA,NA,7
"553","squash","bug",7,NA,NA,NA,7
"554","drug","beagles",7,NA,NA,NA,7
"555","mesh","cage",7,NA,NA,NA,7
"556","molitor","beetle",7,NA,NA,NA,7
"557","death","report",7,NA,NA,NA,7
"558","suspicious","death",6,3,NA,6,NA
"559","city","centre",6,6,NA,2,NA
"560","future","generation",6,2,1,3,NA
"561","heritage","party",6,6,NA,1,NA
"562","pm","location",6,6,NA,NA,NA
"563","other","area",6,2,2,2,NA
"564","new","age",6,2,NA,3,1
"565","Gold","Coast",6,2,NA,5,NA
"566","global","temperature",6,1,NA,3,2
"567","other","way",6,2,1,1,2
"568","last","month",6,3,NA,1,4
"569","https://t.me/TPRlobby","https://m.facebook.com/groups/906871336558178/?ref=share",6,6,NA,NA,NA
"570","local","area",6,5,NA,1,NA
"571","urban","life",6,2,NA,5,NA
"572","canadian","news",6,5,NA,3,NA
"573","video","surveillance",6,3,NA,3,NA
"574","fruit","tree",6,3,NA,NA,3
"575","Social","credit",6,3,NA,4,NA
"576","➡️","co2",6,6,NA,NA,NA
"577","news","group",6,4,1,1,NA
"578","public","sector",6,1,NA,5,NA
"579","many","year",6,1,NA,3,2
"580","airport","-style",6,6,NA,NA,NA
"581","-style","barriers",6,6,NA,NA,NA
"582","own","hand",6,3,NA,1,2
"583","people","power",6,4,3,NA,NA
"584","Dutch","farmer",6,1,1,NA,4
"585","predictive","programming",6,1,NA,2,3
"586","bodily","autonomy",6,2,NA,4,NA
"587","local","community",6,2,4,3,NA
"588","environmental","disaster",6,1,1,5,NA
"589","hered","people",6,2,NA,4,NA
"590","other","form",6,1,NA,4,1
"591","perpetual","lockdown",6,2,1,2,1
"592","real","world",6,1,3,3,1
"593","green","business",6,5,NA,1,NA
"594","human","culture",6,5,NA,1,NA
"595","more","time",6,3,4,1,1
"596","economic","collapse",6,NA,3,5,NA
"597","TruthSocial","GreatBritishBirdOfficial",6,NA,2,3,1
"598","GreatBritishBirdOfficial","https://truthsocial.com/@greatbritishbird",6,NA,2,3,1
"599","change","hoax",6,NA,1,5,NA
"600","vehicle","use",6,NA,5,1,NA
"601","other","nation",6,NA,1,3,2
"602","new","article",6,NA,1,6,NA
"603","control","group",6,NA,6,NA,NA
"604","disease","such",6,NA,1,NA,5
"605","next","big",6,NA,1,1,4
"606","global","plan",6,NA,1,NA,5
"607","Pcr","test",6,NA,1,2,3
"608","full","report",6,NA,1,5,NA
"609","tech","giant",6,NA,1,3,2
"610","different","type",6,NA,NA,5,1
"611","smart","cars",6,NA,NA,6,NA
"612","smart","technology",6,NA,NA,6,NA
"613","fewer","car",6,NA,NA,6,NA
"614","human","sex",6,NA,NA,6,NA
"615","fast","rail",6,NA,NA,6,NA
"616","small","town",6,NA,NA,5,1
"617","city","initiative",6,NA,NA,6,NA
"618","more","land",6,NA,NA,4,2
"619","liive","crisis",6,NA,NA,1,5
"620","digital","infrastructure",6,NA,NA,6,NA
"621","bilateral","trade",6,NA,NA,6,NA
"622","global","supply",6,NA,NA,6,NA
"623","economic","reset",6,NA,NA,6,NA
"624","hybrid","war",6,NA,NA,6,NA
"625","hr","full",6,NA,NA,6,NA
"626","full","doc",6,NA,NA,6,NA
"627","society","today",6,NA,NA,5,1
"628","billionaire","oligarch",6,NA,NA,2,4
"629","stupid","people",6,NA,NA,6,NA
"630","smart","pole",6,NA,NA,6,NA
"631","same","system",6,NA,NA,5,1
"632","first","trial",6,NA,NA,6,NA
"633","global","network",6,NA,NA,6,NA
"634","huge","number",6,NA,NA,5,1
"635","electrical","engineering",6,NA,NA,6,NA
"636","circular","economy",6,NA,NA,6,NA
"637","Podcast","host",6,NA,NA,6,NA
"638","umbilical","cord",6,NA,NA,6,NA
"639","healthy","food",6,NA,NA,1,5
"640","️","〰️",6,NA,NA,6,NA
"641","traditional","farming",6,NA,NA,1,5
"642","drug","company",6,NA,NA,6,NA
"643","city","movement",6,NA,NA,6,NA
"644","ULEZ","expansion",6,NA,NA,6,NA
"645","synthetic","meat",6,NA,NA,NA,6
"646","migratory","locusts",6,NA,NA,NA,6
"647","research","study",6,NA,NA,NA,6
"648","insect","farm",6,NA,NA,NA,6
"649","cricket","farm",6,NA,NA,NA,6
"650","such","policy",6,NA,NA,NA,6
"651","only","flower",6,NA,NA,NA,6
"652","yellow","flower",6,NA,NA,NA,6
"653","puff","ball",6,NA,NA,NA,6
"654","name","dandelion",6,NA,NA,NA,6
"655","french","word",6,NA,NA,NA,6
"656","dent","de",6,NA,NA,NA,6
"657","de","lion",6,NA,NA,NA,6
"658","year","country",6,NA,NA,NA,6
