"","topic","detected_language","NER_text","n"
"666","ulez","en","Harari",3
"667","ulez","en","Hazel Gillender",3
"668","ulez","en","Ian Levers",3
"669","ulez","en","James Blond",3
"670","ulez","en","Jeremy Lee - How",3
"671","ulez","en","Joe Allen",3
"672","ulez","en","Lismore",3
"673","ulez","en","Manchester",3
"674","ulez","en","Mark Devlin",3
"675","ulez","en","Mark Johnson",3
"676","ulez","en","Marx",3
"677","ulez","en","Max Igan",3
"678","ulez","en","Mike Yeadon",3
"679","ulez","en","Mike\n\n",3
"680","ulez","en","Newman",3
"681","ulez","en","Nigel Farage",3
"682","ulez","en","North London - GRIDLOCK",3
"683","ulez","en","Paul Burgess",3
"684","ulez","en","Pedo Epstein",3
"685","ulez","en","Peter Ford",3
"686","ulez","en","Putin",3
"687","ulez","en","Rockefellers",3
"688","ulez","en","Russian Mil",3
"689","ulez","en","Scott LoBaido",3
"690","ulez","en","Secret Societies",3
"691","ulez","en","Starter Kit",3
"692","ulez","en","Trafalgar Square",3
"693","ulez","en","Trafficking",3
"694","ulez","en","Truthbomb)](https://t.me",3
"695","ulez","en","Tsay",3
"696","ulez","en","Walgreens",3
"697","ulez","en","Zilch",3
"698","ulez","en","Zip",3
"699","ulez","en","\U0001f1f8",3
"700","ulez","en","\U0001f3fb",3
"701","ulez","en","\U0001f449 @OPFREEDOM \U0001f1fa\U0001f1f2",3
"702","ulez","en","\U0001f4f8\n\nPower",3
"703","ulez","en","\U0001f609",3
"704","ulez","en","\ufe0f Click",3
"705","ulez","en","article-11864147",3
"706","ulez","en","https://mummyanglais.wordpress.com/tag/weaponised-frequencies-5g/",3
"707","ulez","en","https://www.dailymail.co.uk/news/article-10235499/Epstein-Clinton.html",3
"708","ulez","en","https://www.dailymail.co.uk/news/article-11984919/Frustrated-motorists-STEALING-Ulez-cameras-protest-Sadiq-Khans-expansion-plans.html",3
"709","ulez","nl","Ben",3
"710","ulez","nl","Corona",3
"711","ulez","nl","DIT\u2049\ufe0f\n\n",3
"712","ulez","nl","DNA",3
"713","ulez","nl","Great Reset",3
"714","ulez","nl","Let",3
"715","ulez","nl","Musk",3
"716","ulez","nl","NEE",3
"717","ulez","nl","Persoonsgegevens",3
"718","ulez","nl","Robert Kennedy",3
"719","ulez","nl","Smartphone",3
"720","ulez","nl","Tom",3
"721","ulez","nl","city\u2019s",3
"722","ulez","nl","city\u2019s werkelijkheid",3
"723","ulez","nl","pilletje",3
"724","ulez","nl","risico\u2019s",3
"725","ulez","nl","telefoons",3
"726","climate_lockdown","en","@DigitalNukes \u2622",2
"727","climate_lockdown","en","Alex Jones\n- Climate Lockdowns",2
"728","climate_lockdown","en","Anderson",2
"729","climate_lockdown","en","Breitbart",2
"730","climate_lockdown","en","COVID",2
"731","climate_lockdown","en","Chris Bowen",2
"732","climate_lockdown","en","Climate Lockdown",2
"733","climate_lockdown","en","Climate Lockdowns",2
"734","climate_lockdown","en","Dan Andrews",2
"735","climate_lockdown","en","Der Klimalockdown",2
"736","climate_lockdown","en","Ellen Brown",2
"737","climate_lockdown","en","Ezra Levant",2
"738","climate_lockdown","en","False Flag Incoming",2
"739","climate_lockdown","en","Freemasons",2
"740","climate_lockdown","en","Gab",2
"741","climate_lockdown","en","Ingraham",2
"742","climate_lockdown","en","J. Michael Evans",2
"743","climate_lockdown","en","Jack Posobiec\n\nChannel",2
"744","climate_lockdown","en","Jan Jekielek",2
"745","climate_lockdown","en","Joe Biden",2
"746","climate_lockdown","en","Joel Pollak",2
"747","climate_lockdown","en","John McAfee](https://t.me/johnmcafeechannel",2
"748","climate_lockdown","en","Katie",2
"749","climate_lockdown","en","Kill Bill",2
"750","climate_lockdown","en","Kretschmann",2
"751","climate_lockdown","en","LOCKDOWNS \u26a1\ufe0f",2
"752","climate_lockdown","en","Lockdown",2
"753","climate_lockdown","en","Lois Perry",2
"754","climate_lockdown","en","Mark Dolan",2
"755","climate_lockdown","en","Matt Green",2
"756","climate_lockdown","en","Monica",2
"757","climate_lockdown","en","Norman Fenton",2
"758","climate_lockdown","en","Robin",2
"759","climate_lockdown","en","Robin Monotti - Left Lockdown Sceptics",2
"760","climate_lockdown","en","TURKEY \U0001f1f9",2
"761","climate_lockdown","en","Thunberg",2
"762","climate_lockdown","en","Tim Murdoch",2
"763","climate_lockdown","en","Trojan",2
"764","climate_lockdown","en","Vom Corona-Lockdown",2
"765","climate_lockdown","en","Winfried Kretschmann",2
"766","climate_lockdown","en","YouTube Mod",2
"767","climate_lockdown","en","[: Telegr](https://t.me/",2
"768","climate_lockdown","en","\U0001f1ee\U0001f1f9",2
"769","climate_lockdown","en","\U0001f3fb\U0001f64f",2
"770","climate_lockdown","en","\U0001f3fd",2
"771","climate_lockdown","en","\U0001f6ce",2
"772","climate_lockdown","en","https://entropystream.live/app/markcollett",2
"773","climate_lockdown","nl","Ben",2
"774","climate_lockdown","nl","Christine Anderson",2
"775","climate_lockdown","nl","Corona Lockdown",2
"776","climate_lockdown","nl","Ernst Kuipers",2
"777","climate_lockdown","nl","Failliete Vanguard",2
"778","climate_lockdown","nl","Fractie-Frentrop",2
"779","climate_lockdown","nl","Geef",2
"780","climate_lockdown","nl","Gezondheids Organisatie",2
"781","climate_lockdown","nl","Herinneren",2
"782","climate_lockdown","nl","Kathy Hochul",2
"783","climate_lockdown","nl","Poetin",2
"784","climate_lockdown","nl","Raisa",2
"785","climate_lockdown","nl","U",2
"786","climate_lockdown","nl","Wekenlang",2
"787","climate_lockdown","nl","\U0001d413\U0001d421\U0001d422\U0001d41e\U0001d42b\U0001d42b\U0001d432 \U0001d401\U0001d41a\U0001d42e\U0001d41d\U0001d41e\U0001d42d\n\nSluit",2
"788","climate_lockdown","nl","\U0001f1f9 ex-Draghistan",2
"789","climate_lockdown","nl","it. No Great",2
"790","climate_lockdown","nl","many people",2
"791","fifteen_minutes","en","Aldi Shop&Go",2
"792","fifteen_minutes","en","Andr\xe9 Leu](https://t.me/BetterWayConference/180",2
"793","fifteen_minutes","en","Andy",2
"794","fifteen_minutes","en","Apple Pay",2
"795","fifteen_minutes","en","Arup",2
"796","fifteen_minutes","en","Ash Wednesday",2
"797","fifteen_minutes","en","Australia \U0001f91c",2
"798","fifteen_minutes","en","Bath",2
"799","fifteen_minutes","en","Ben Fisher",2
"800","fifteen_minutes","en","Bloomberg Philanthropies",2
"801","fifteen_minutes","en","Boris Johnson",2
"802","fifteen_minutes","en","Brexit",2
"803","fifteen_minutes","en","COVID",2
"804","fifteen_minutes","en","Christof Plothe",2
"805","fifteen_minutes","en","Common Law",2
"806","fifteen_minutes","en","Conspiracy Theories",2
"807","fifteen_minutes","en","Daisy",2
"808","fifteen_minutes","en","Dale Vince",2
"809","fifteen_minutes","en","David Fleming](https://t.me/BetterWayConference/178",2
"810","fifteen_minutes","en","Democracy",2
"811","fifteen_minutes","en","Derrick",2
"812","fifteen_minutes","en","Emma White",2
"813","fifteen_minutes","en","Flower",2
"814","fifteen_minutes","en","God",2
"815","fifteen_minutes","en","Great Reset",2
"816","fifteen_minutes","en","Ground",2
"817","fifteen_minutes","en","Guildford",2
"818","fifteen_minutes","en","Ipswich",2
"819","fifteen_minutes","en","JFK Awakening",2
"820","fifteen_minutes","en","Jack",2
"821","fifteen_minutes","en","Jan Jekielek",2
"822","fifteen_minutes","en","Jeremy Birnstingl](https://t.me/BetterWayConference/173",2
"823","fifteen_minutes","en","John McAfee](https://t.me/johnmcafeechannel",2
"824","fifteen_minutes","en","Join TELEGRAM Channel",2
"825","fifteen_minutes","en","Judith Curry",2
"826","fifteen_minutes","en","Lancet Study",2
"827","fifteen_minutes","en","Laura Aboli",2
"828","fifteen_minutes","en","Mark Steele",2
"829","fifteen_minutes","en","Mike Robinson",2
"830","fifteen_minutes","en","Mike Yeadon\xa0\n\n",2
"831","fifteen_minutes","en","Mike\n\n",2
"832","fifteen_minutes","en","Mike\xa0\n\n",2
"833","fifteen_minutes","en","Nick Fletcher",2
"834","fifteen_minutes","en","Norman Fenton](https://t.me/BetterWayConference/176",2
"835","fifteen_minutes","en","North London",2
"836","fifteen_minutes","en","Peter Evans",2
"837","fifteen_minutes","en","Rehire Non-Jabbed",2
"838","fifteen_minutes","en","Richard Vobes",2
"839","fifteen_minutes","en","Sam Beckett",2
"840","fifteen_minutes","en","Sandi Adams\n\nExcerpt",2
"841","fifteen_minutes","en","St Baruchs Chapel",2
"842","fifteen_minutes","en","Suckdick Khuntz ULEZ Cameras",2
"843","fifteen_minutes","en","Surrey",2
"844","fifteen_minutes","en","Tom",2
"845","fifteen_minutes","en","Trojan",2
"846","fifteen_minutes","en","Trump",2
"847","fifteen_minutes","en","Vaccine",2
"848","fifteen_minutes","en","\U0001d64d\U0001d65e\U0001d668\U0001d65a",2
"849","fifteen_minutes","en","\U0001f1ee\U0001f1f3",2
"850","fifteen_minutes","en","\U0001f3fb @RealDustinNemos",2
"851","fifteen_minutes","en","\U0001f4af\n",2
"852","fifteen_minutes","en","\U0001f4f8",2
"853","fifteen_minutes","en","\U0001f621",2
"854","fifteen_minutes","en","\ufe0f Click",2
"855","fifteen_minutes","en","dairy herds",2
"856","fifteen_minutes","en","https://ept.ms/Y0425ChristineAnderson",2
"857","fifteen_minutes","en","https://www.cnn.com/2023/02/26/world/15-minute-cities-conspiracy-theory-climate-intl/index.html",2
"858","fifteen_minutes","en","https://www.spiked-online.com/2022/10/25/the-madness-of-the-15-minute-city/?fbclid=IwAR2bA19cPEQf9VpOrhucMOV8V-WFVEqmi_AJrBqw__KyDsh_zbhbUk02miU#laieu8sacd9p6pcqh6q",2
"859","fifteen_minutes","en","the Manifesto",2
"860","fifteen_minutes","nl","AI",2
"861","fifteen_minutes","nl","Advocaat W. Scott",2
"862","fifteen_minutes","nl","Agenda 21",2
"863","fifteen_minutes","nl","Buenos Aires",2
"864","fifteen_minutes","nl","Camera\u2019s",2
"865","fifteen_minutes","nl","Chris Sky",2
"866","fifteen_minutes","nl","Christine Margarete Anderson",2
"867","fifteen_minutes","nl","Cities\u2019",2
"868","fifteen_minutes","nl","Covid Lockdowns",2
"869","fifteen_minutes","nl","Denk",2
"870","fifteen_minutes","nl","Emissions",2
"871","fifteen_minutes","nl","Geef",2
"872","fifteen_minutes","nl","Harari",2
"873","fifteen_minutes","nl","Lockdowns\u2019",2
"874","fifteen_minutes","nl","Musk",2
"875","fifteen_minutes","nl","Projectleiders",2
"876","fifteen_minutes","nl","Romy",2
"877","fifteen_minutes","nl","Sadiq Khan",2
"878","fifteen_minutes","nl","The Line",2
"879","fifteen_minutes","nl","There",2
"880","fifteen_minutes","nl","Waarom",2
"881","fifteen_minutes","nl","kroonprins Mohammed",2
"882","insect","en","Abdul Ghani Baradar",2
"883","insect","en","Acidum nitricum",2
"884","insect","en","Alexa Lavoie",2
"885","insect","en","Alfalfa",2
"886","insect","en","Ampol",2
"887","insect","en","Anderson",2
"888","insect","en","Andrew Bridgen](https://www.youtube.com/watch?v",2
"889","insect","en","Angelina Jolie\u2019s",2
"890","insect","en","Aphids",2
"891","insect","en","Ashraf Ghani",2
"892","insect","en","Aurum",2
"893","insect","en","Barbara Baarsma",2
"894","insect","en","Bayley St \n\nNORSEMAN",2
"895","insect","en","Beasley",2
"896","insect","en","Belladonna",2
"897","insect","en","Big Pharma",2
"898","insect","en","Bigthink",2
"899","insect","en","Bill",2
"900","insect","en","Black Bond PTV",2
"901","insect","en","Boris Johnson",2
"902","insect","en","Boycott Anheuser-Busch",2
"903","insect","en","COVID-19",2
"904","insect","en","Carbon Rabobank",2
"905","insect","en","Carlson Built",2
"906","insect","en","Chris Steinmetz",2
"907","insect","en","Christof Plothe",2
"908","insect","en","Christopher Cross",2
"909","insect","en","Cindy McCain",2
"910","insect","en","Cisco Brewers",2
"911","insect","en","Covid Nose",2
"912","insect","en","Cutwater Spirits",2
"913","insect","en","Dana Jacobson",2
"914","insect","en","David Wild",2
"915","insect","en","Deutsc[he Welle",2
"916","insect","en","Die Welt",2
"917","insect","en","Doc Burkhart",2
"918","insect","en","Donald",2
"919","insect","en","Dorothea Thul",2
"920","insect","en","Elysian Brewing",2
"921","insect","en","Estrella Jalisco",2
"922","insect","en","Eyre Hwy \n\n",2
"923","insect","en","Eyre Hwy \n\nBALLADONIA",2
"924","insect","en","Fingers",2
"925","insect","en","Flynn",2
"926","insect","en","Fotis Fotiadis",2
"927","insect","en","Francesco Lollobrigida",2
"928","insect","en","Gaia",2
"929","insect","en","Gaucher",2
"930","insect","en","George W. Bush\u2019s",2
"931","insect","en","Glasgow",2
"932","insect","en","Globalist Elite",2
"933","insect","en","Goliath",2
"934","insect","en","Green",2
"935","insect","en","Herv\xe9 Juvin",2
"936","insect","en","Human Trafficking",2
"937","insect","en","J. Michael Evans",2
"938","insect","en","JFK",2
"939","insect","en","JFK Awakening",2
"940","insect","en","Jerry Cans",2
"941","insect","en","John D. Rockefeller",2
"942","insect","en","John McAfee](https://t.me/johnmcafeechannel",2
"943","insect","en","Justin Trudeau",2
"944","insect","en","Kamala Harris",2
"945","insect","en","Kashrut",2
"946","insect","en","Kinda",2
"947","insect","en","LABEL",2
"948","insect","en","Lass",2
"949","insect","en","Lassie",2
"950","insect","en","Leicester",2
"951","insect","en","Leute",2
"952","insect","en","Lidl Ireland \U0001f1ee\U0001f1ea",2
"953","insect","en","Lien Odysee",2
"954","insect","en","Magnus S\xf6derlund",2
"955","insect","en","Malcolm Roberts",2
"956","insect","en","Marc",2
"957","insect","en","Marc Siegel",2
"958","insect","en","Marie Antoinette\u2019s",2
"959","insect","en","Mark Rutt",2
"960","insect","en","Massingham St",2
"961","insect","en","Michael Scharf",2
"962","insect","en","Mike Harrigan",2
"963","insect","en","Mix 30",2
"964","insect","en","Mumma Kiwi",2
"965","insect","en","Myasnikov",2
"966","insect","en","Nah",2
"967","insect","en","Natalie Winters",2
"968","insect","en","Noah",2
"969","insect","en","Ourobouros",2
"970","insect","en","Patrick",2
"971","insect","en","Paul McCartney",2
"972","insect","en","Paula Kok - De Boer",2
"973","insect","en","Penick",2
"974","insect","en","Penny Mordaunt - Attempts",2
"975","insect","en","Pharma",2
"976","insect","en","Pre Launch",2
"977","insect","en","Puma High Wycombe",2
"978","insect","en","Qld",2
"979","insect","en","Resilience",2
"980","insect","en","Richard Vobes](https://t.me",2
"981","insect","en","Rick Wiles",2
"982","insect","en","Rob",2
"983","insect","en","Robert Heinlein",2
"984","insect","en","Robins",2
"985","insect","en","Rod",2
"986","insect","en","Rothschilds Globalists",2
"987","insect","en","S\xf6der",2
"988","insect","en","Sabine",2
"989","insect","en","Sarah",2
"990","insect","en","Shane Warne",2
"991","insect","en","Skin Disease",2
"992","insect","en","Sonia",2
"993","insect","en","Stacey Abram\u2019s",2
"994","insect","en","Stanley Prusiner",2
"995","insect","en","Steven Whyard",2
"996","insect","en","Substack",2
"997","insect","en","TBHQ",2
"998","insect","en","TIPS\u203c\ufe0f\n\n\u201cDrink",2
"999","insect","en","Telegram",2
"1000","insect","en","Thomas\U0001f1f3",2
"1001","insect","en","Tony Blair",2
"1002","insect","en","Truth Leaders",2
"1003","insect","en","Tucker",2
"1004","insect","en","Twin Worlds\nSmall",2
"1005","insect","en","United Kelleberin",2
"1006","insect","en","Virtue Cider",2
"1007","insect","en","Wee Bonnie",2
"1008","insect","en","Whale Ark",2
"1009","insect","en","Worm",2
"1010","insect","en","Xi Jinping",2
"1011","insect","en","Zaki Anwari",2
"1012","insect","en","\U0001f3fb\U0001f480",2
"1013","insect","en","\U0001f607](https://t.me",2
"1014","insect","en","\U0001f609\U0001f92b\U0001f601",2
"1015","insect","en","\U0001f697\U0001f697",2
"1016","insect","en","\U0001f92e",2
"1017","insect","en","\u042e\u0442\u0443 \u0438 \u041e\u0440\u0435\u0433\u043e\u043d",2
"1018","insect","en","\u0432\u0441\u0451 \u043d\u0430 \u0441\u0432\u043e\u0451\u043c \u043f\u0443\u0442\u0438",2
"1019","insect","en","\ufe0f t.me/ugofuoco/2268",2
"1020","insect","en","\xc9tats-Unis",2
"1021","insect","en","bin",2
"1022","insect","en","familys",2
"1023","insect","en","https://t.me/GBBNews23",2
"1024","insect","en","https://truthbook.social/post/175084_quot-things-like-the-world-economic-forum-those-policies-are-dead-on-arrival-in.html",2
"1025","insect","en","https://www.dailymail.co.uk/sciencetech/article-7350713/amp/Bill-Gates-wants-spray-millions-tonnes-dust-stratosphere-stop-global-warming.html",2
"1026","insect","en","https://www.google.com/amp/s/www.dailymail.co.uk/news/article-11331411/amp/Aldi-considers-selling-edible-INSECTS-help-families-cost-living-crisis.html",2
"1027","insect","en","https://www.redvoicemedia.com/2021/10/legislators-demanding-answers-from-fauci-over-cruel-experiments-on-puppies/",2
"1028","insect","en","kuru",2
"1029","insect","en","mealy bugs",2
"1030","insect","nl","Alles",2
"1031","insect","nl","Babylon\u2026",2
"1032","insect","nl","Biolabs",2
"1033","insect","nl","Bouwe van Straten",2
"1034","insect","nl","Dr.",2
"1035","insect","nl","Dusss",2
"1036","insect","nl","Escher Wyss Schwab",2
"1037","insect","nl","Fact Checks",2
"1038","insect","nl","Gedeputeerde Gert Harm",2
"1039","insect","nl","Geef",2
"1040","insect","nl","Gewoon",2
"1041","insect","nl","Hitler\u2019s",2
"1042","insect","nl","Holomodor",2
"1043","insect","nl","Hydra",2
"1044","insect","nl","Inderdaad",2
"1045","insect","nl","Jumbo",2
"1046","insect","nl","Kahn Mongol",2
"1047","insect","nl","Kahzar",2
"1048","insect","nl","Ken",2
"1049","insect","nl","Langdurig",2
"1050","insect","nl","Lara Logan",2
"1051","insect","nl","Lees",2
"1052","insect","nl","Leon Haan",2
"1053","insect","nl","Linux",2
"1054","insect","nl","M&M\u2019s",2
"1055","insect","nl","Mark",2
"1056","insect","nl","Minor",2
"1057","insect","nl","NUL REACTIES",2
"1058","insect","nl","Nazi",2
"1059","insect","nl","Nazi\u2019s",2
"1060","insect","nl","Nephilim",2
"1061","insect","nl","Northern",2
"1062","insect","nl","Peter F. Mayer.](https://tkp.at/2023/04/16/co2-emissionen-im-kontoauszug-vorbereitung-auf-freiheitsentzug-durch-co2-konto/",2
"1063","insect","nl","Peter Savelberg",2
"1064","insect","nl","Social",2
"1065","insect","nl","Stadion",2
"1066","insect","nl","Status",2
"1067","insect","nl","TU Delft",2
"1068","insect","nl","Troje",2
"1069","insect","nl","Trudi Verstegen",2
"1070","insect","nl","Trypanosoma Cruzi",2
"1071","insect","nl","Valuta",2
"1072","insect","nl","Weaver",2
"1073","insect","nl","Weet",2
"1074","insect","nl","[chitin](https://nl.wikipedia.org/wiki/Chitine",2
"1075","insect","nl","\U0001f4a5\n\n",2
"1076","insect","nl","\U0001f9e7Grain",2
"1077","insect","nl","avocado\u2019s",2
"1078","insect","nl","eeuwig leven",2
"1079","insect","nl","graan\u2026",2
"1080","insect","nl","https://www.eutimes.net/2021/09/who-releases-plan-for-global-digital-vaccine-passports-funded-by-bill-gates-rockefeller-foundation/\n\nDe Wereldgezondheidsorganisatie",2
"1081","insect","nl","https://www.frontnieuws.com/eet-meer-insecten-sterk-vergrote-fotos-krekelsnacks-krekelmeel-en-microscopische-fotos-van-hele-krekels-uit-het-lab/\nEet",2
"1082","insect","nl","https://www.youtube.com/watch?v=_b8uomKFgUI&t=103s\n\n",2
"1083","insect","nl","human animals",2
"1084","insect","nl","kijk",2
"1085","insect","nl","mango\u2019s",2
"1086","insect","nl","nonbinary semi-trans",2
"1087","insect","nl","roze koeken",2
"1088","insect","nl","thema\u2019s",2
"1089","insect","nl","vanLocusta migratoria",2
"1090","ulez","en","@OPFREEDOM \U0001f1fa",2
"1091","ulez","en","Agenda Nwo",2
"1092","ulez","en","Alex Jones",2
"1093","ulez","en","Andrei Tarkovsky",2
"1094","ulez","en","Andy Burnham",2
"1095","ulez","en","Anne Bowser",2
"1096","ulez","en","Anunnaki",2
"1097","ulez","en","Asda",2
"1098","ulez","en","Atomkrieg Atomkrieg - EndGame",2
"1099","ulez","en","Attent\xe4ter Gilden",2
"1100","ulez","en","Autonomous Vehicles",2
"1101","ulez","en","Autonomous Weeder",2
"1102","ulez","en","B[oris Johnson](https://www.standard.co.uk",2
"1103","ulez","en","Babylon Berlin",2
"1104","ulez","en","Benjamin Creme",2
"1105","ulez","en","Bildungs Level",2
"1106","ulez","en","Blogg",2
"1107","ulez","en","Bloomberg Philanthropies",2
"1108","ulez","en","Bolshevik Jews\n- China",2
"1109","ulez","en","Boris Lowkey",2
"1110","ulez","en","Brad Parscale",2
"1111","ulez","en","Brauch",2
"1112","ulez","en","Brave",2
"1113","ulez","en","Brisbane",2
"1114","ulez","en","COVID-19",2
"1115","ulez","en","Caf\xe9 Coco",2
"1116","ulez","en","Cam Siri Alexa",2
"1117","ulez","en","Carbon Footprint",2
"1118","ulez","en","Chinas",2
"1119","ulez","en","Christopher Wolff",2
"1120","ulez","en","Christstollen",2
"1121","ulez","en","Chula Vista",2
"1122","ulez","en","Citizen",2
"1123","ulez","en","City Hall",2
"1124","ulez","en","Clinton Pugh",2
"1125","ulez","en","Clowd",2
"1126","ulez","en","Comme",2
"1127","ulez","en","Corona Eye",2
"1128","ulez","en","Corona Lockdown Vaccine",2
"1129","ulez","en","Corona Vaccine Lockdown",2
"1130","ulez","en","Covid Document](https://t.me/followsthewhiterabbit/2593",2
"1131","ulez","en","Covid Financial Relief",2
"1132","ulez","en","Covid Quarantine Camps",2
"1133","ulez","en","Covid Virus",2
"1134","ulez","en","Covid-19 V](https://t.me/followsthewhiterabbit/8269",2
"1135","ulez","en","Cyber Stalker",2
"1136","ulez","en","Cyrpto Psyop",2
"1137","ulez","en","Dan Astin - Gregory",2
"1138","ulez","en","Daniel Bulford",2
"1139","ulez","en","Dave Lee",2
"1140","ulez","en","Dave Oneegs",2
"1141","ulez","en","David Birch",2
"1142","ulez","en","David Clewes",2
"1143","ulez","en","David Icke",2
"1144","ulez","en","Derry/Londonderry \U0001f1ee\U0001f1ea",2
"1145","ulez","en","Digitales Gulag\u2757",2
"1146","ulez","en","Disney Netflix",2
"1147","ulez","en","Dmitry Chernyshenko",2
"1148","ulez","en","Drama Emotion",2
"1149","ulez","en","Elizabeth Bailey",2
"1150","ulez","en","Elizabeth Line",2
"1151","ulez","en","Elizabeth Newbury",2
"1152","ulez","en","Eric Brame",2
"1153","ulez","en","Florence Pugh",2
"1154","ulez","en","Flower",2
"1155","ulez","en","Freemasons",2
"1156","ulez","en","Gatteca Screening",2
"1157","ulez","en","George Soros",2
"1158","ulez","en","Gloucester",2
"1159","ulez","en","Gr\xfcndung an Bord",2
"1160","ulez","en","Green Agenda",2
"1161","ulez","en","Greta Again - Zeitgeist",2
"1162","ulez","en","Grow Babies\n\nREAD",2
"1163","ulez","en","Gulak Fantasy Land - Total Controll",2
"1164","ulez","en","Harry Hatzikalimnios",2
"1165","ulez","en","Hass Liebe",2
"1166","ulez","en","Henry Kissinger",2
"1167","ulez","en","Hillingdon",2
"1168","ulez","en","Hilton BA1 5BJ\n\n",2
"1169","ulez","en","Hr Doc",2
"1170","ulez","en","Hunter Biden",2
"1171","ulez","en","James Rink",2
"1172","ulez","en","Jamie \n",2
"1173","ulez","en","Jeffrey Jaxen:](https://thehighwire.com/",2
"1174","ulez","en","Johnson",2
"1175","ulez","en","Join TELEGRAM Channel",2
"1176","ulez","en","Jump Cannon",2
"1177","ulez","en","KIaus Schwab",2
"1178","ulez","en","Kabbala",2
"1179","ulez","en","Kamal Chunchie Way",2
"1180","ulez","en","Kate Mason",2
"1181","ulez","en","Keith Thompson",2
"1182","ulez","en","Kim Goguen @kimgoguen",2
"1183","ulez","en","Known Traveler Digi](https://t.me/Revelations_and_Rabbit_Holes/583",2
"1184","ulez","en","Konstante Kritik",2
"1185","ulez","en","Kuscheltiere",2
"1186","ulez","en","LOCKDOWNS \u26a1\ufe0f",2
"1187","ulez","en","Learn Hilfe",2
"1188","ulez","en","Learn Mo[re",2
"1189","ulez","en","Learning",2
"1190","ulez","en","Leigh Dundas",2
"1191","ulez","en","Local Governments - Read",2
"1192","ulez","en","Lockstep",2
"1193","ulez","en","Long Wave Infrared",2
"1194","ulez","en","MARIA ZEEE",2
"1195","ulez","en","MAXWELL",2
"1196","ulez","en","MailOnline",2
"1197","ulez","en","Maitreya",2
"1198","ulez","en","Malcolm Roberts",2
"1199","ulez","en","Mark Steele",2
"1200","ulez","en","Martin Costello",2
"1201","ulez","en","Marx - Gesellschaft\nFreud - Verhaltensst\xf6rung",2
"1202","ulez","en","Massen",2
"1203","ulez","en","Max Igan - Smart Cities",2
"1204","ulez","en","Megalopolis",2
"1205","ulez","en","Mensch",2
"1206","ulez","en","Metropolis City of Future",2
"1207","ulez","en","Michael Bloomberg",2
"1208","ulez","en","Michael Cassel",2
"1209","ulez","en","Michael Kennedy",2
"1210","ulez","en","Mike",2
"1211","ulez","en","Milton Keynes\n- Teesside",2
"1212","ulez","en","Mind - Musuem - History Books",2
"1213","ulez","en","Mirani",2
"1214","ulez","en","Mohammed bin Salman",2
"1215","ulez","en","Natur Law - Natur Recht - Slavery & V\xf6lkermord",2
"1216","ulez","en","Nature - Controlled Evolution",2
"1217","ulez","en","Nick",2
"1218","ulez","en","Nick Rogers",2
"1219","ulez","en","Nimbus",2
"1220","ulez","en","Nobusuke Kishi",2
"1221","ulez","en","North London",2
"1222","ulez","en","Online Safety",2
"1223","ulez","en","Oxford Mail",2
"1224","ulez","en","Oxygen",2
"1225","ulez","en","Pete Buttigieg",2
"1226","ulez","en","Peter",2
"1227","ulez","en","Peter Evans",2
"1228","ulez","en","Pinchas Berkus",2
"1229","ulez","en","Pre Crime",2
"1230","ulez","en","Programm Hollywood Mind Controll Techniks",2
"1231","ulez","en","Project Corona",2
"1232","ulez","en","Project Nimbus",2
"1233","ulez","en","Psychologie",2
"1234","ulez","en","RCMP",2
"1235","ulez","en","Race Hygien - IQ Scanner",2
"1236","ulez","en","Resilience",2
"1237","ulez","en","Resistance",2
"1238","ulez","en","Rishi Sunak",2
"1239","ulez","en","Robin Monotti - Biourbanism Versus",2
"1240","ulez","en","Robo Bitchbot Brainwash",2
"1241","ulez","en","Rothschilds",2
"1242","ulez","en","Rotterdam",2
"1243","ulez","en","Sadiq Khan\u2019s",2
"1244","ulez","en","Sadiq Khans",2
"1245","ulez","en","Sadiqs",2
"1246","ulez","en","Sch\xfcler",2
"1247","ulez","en","Schmidt",2
"1248","ulez","en","Sharon",2
"1249","ulez","en","Shinzo Abe",2
"1250","ulez","en","Sinophile",2
"1251","ulez","en","Slavic Ukrainians",2
"1252","ulez","en","Smart Regions",2
"1253","ulez","en","Snow Crash",2
"1254","ulez","en","Soros",2
"1255","ulez","en","Spoons",2
"1256","ulez","en","Stephen Andrew MP",2
"1257","ulez","en","Stephenson",2
"1258","ulez","en","Stolen History Documentary",2
"1259","ulez","en","Suckdick Khuntz ULEZ Cameras",2
"1260","ulez","en","Sue Halpern",2
"1261","ulez","en","Susan Hall",2
"1262","ulez","en","Tarkovsky",2
"1263","ulez","en","TfL",2
"1264","ulez","en","Thur",2
"1265","ulez","en","Tony",2
"1266","ulez","en","Traf",2
"1267","ulez","en","Trafalgar Sq",2
"1268","ulez","en","Trap",2
"1269","ulez","en","Trends Tips",2
"1270","ulez","en","Trump Doc Hub",2
"1271","ulez","en","Twin Worlds\nSmall",2
"1272","ulez","en","Ukrainian Biolabs",2
"1273","ulez","en","Ukrainian Slavic",2
"1274","ulez","en","WW3 Scenario",2
"1275","ulez","en","Watering Holes",2
"1276","ulez","en","Weihnachtsstollen",2
"1277","ulez","en","WiFi",2
"1278","ulez","en","Winli",2
"1279","ulez","en","Without Bond - Read",2
"1280","ulez","en","Wolff",2
"1281","ulez","en","Wormwood",2
"1282","ulez","en","Xmas",2
